Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Nias Barat,0.000,0.127,0.298,0.285,0.860,-,1.036,0.014,0.001,0.005,0.018,0.079,0.006,0.002,0.006,0.002,0.101,0.175,0.629,0.047,0.039,0.005,0.001,0.001,0.059,0.022,0.025,0.063,0.153,0.449,0.090,0.201,0.013
Kota Sibolga,0.000,0.193,1.314,0.314,1.122,-,2.316,0.168,0.077,1.274,0.280,0.067,1.270,0.029,0.246,0.272,0.687,0.042,0.341,0.954,0.080,0.679,0.005,0.128,0.072,0.030,0.130,0.314,0.054,0.946,0.220,0.306,0.024
Kota Tanjung Balai,0.000,0.617,1.849,0.501,1.286,-,3.092,0.141,0.068,0.861,0.393,0.039,0.715,0.052,0.229,0.090,0.388,0.135,0.634,0.542,0.147,1.142,0.040,0.082,0.230,0.058,0.394,0.112,0.320,0.805,0.360,0.667,0.001
Kota Pematang Siantar,0.000,0.384,1.299,0.508,1.126,-,2.252,0.265,0.072,0.829,0.112,0.123,0.644,0.070,0.294,0.034,0.717,0.025,0.491,0.430,0.205,0.292,0.039,0.204,0.418,0.029,0.056,0.108,0.059,0.921,0.296,0.216,0.109
Kota Tebing Tinggi,0.000,0.427,1.162,0.460,1.164,-,2.362,0.082,0.066,0.527,0.262,0.052,0.909,0.050,0.371,0.135,0.538,0.035,0.615,0.695,0.264,0.828,0.072,0.203,0.088,0.052,0.334,0.143,0.199,0.373,0.396,0.237,0.002
Kota Medan,0.000,0.610,1.579,0.592,1.474,-,2.586,0.280,0.164,0.745,0.373,0.195,0.895,0.130,0.394,0.141,0.692,0.095,0.787,0.411,0.365,0.912,0.088,0.085,0.369,0.213,0.485,0.128,0.181,0.705,0.383,0.516,0.002
Kota Binjai,0.000,0.352,0.939,0.237,0.699,-,2.150,0.109,0.054,0.421,0.164,0.028,0.714,0.037,0.218,0.054,0.495,0.047,0.989,0.156,0.150,0.521,0.046,0.092,0.368,0.021,0.352,0.054,0.071,0.467,0.241,0.284,0.001
Kota Padangsidimpuan,0.000,0.455,1.239,0.531,1.680,-,5.774,0.293,0.153,0.861,0.187,0.086,0.923,0.164,0.077,0.215,0.557,0.090,1.098,0.120,0.161,0.856,0.016,0.242,0.733,0.069,0.182,0.214,0.190,1.900,0.270,0.349,0.009
Kota Gunungsitoli,0.000,0.143,0.607,0.225,1.785,-,1.629,0.079,0.009,0.084,0.079,0.090,0.221,0.017,0.094,0.018,0.204,0.063,0.346,0.110,0.057,0.009,0.009,0.030,0.115,0.100,0.380,0.200,0.365,0.390,0.198,0.224,0.017
Kepulauan Mentawai,0.000,0.296,1.375,0.363,0.664,-,1.379,0.122,0.056,0.069,0.120,0.161,0.369,0.021,0.131,0.115,0.078,0.103,0.680,0.175,0.032,0.011,0.001,0.000,0.016,0.034,0.078,0.054,0.074,0.418,0.066,0.476,0.000
Pesisir Selatan,0.000,0.648,1.995,0.441,0.950,-,3.335,0.111,0.542,0.280,0.555,0.162,1.510,0.069,0.043,0.272,0.148,0.049,0.767,0.095,0.054,0.723,0.003,0.094,0.113,0.098,0.311,0.344,0.147,0.828,0.130,0.422,0.004
Solok,0.000,0.365,2.004,0.408,0.890,-,3.876,0.094,0.116,0.351,0.283,0.063,1.036,0.041,0.050,0.284,0.246,0.046,0.885,0.063,0.139,0.420,0.006,0.055,0.340,0.033,0.124,0.193,0.212,0.559,0.270,0.173,0.000
Sijunjung,0.000,0.208,1.201,0.359,0.565,-,3.420,0.121,0.187,0.316,0.548,0.074,0.573,0.026,0.011,0.289,0.359,0.025,0.595,0.012,0.076,0.691,0.000,0.032,0.267,0.037,0.225,0.343,0.327,0.388,0.144,0.180,0.000
Tanah Datar,0.000,0.259,1.476,0.467,0.982,-,3.154,0.164,0.162,0.676,0.298,0.090,1.072,0.072,0.069,0.332,0.260,0.046,0.693,0.053,0.132,0.926,0.022,0.069,0.229,0.057,0.122,0.265,0.184,0.918,0.173,0.103,0.000
Padang Pariaman,0.000,0.485,1.640,0.311,0.846,-,3.996,0.206,0.174,0.523,0.391,0.234,2.285,0.052,0.061,0.292,0.225,0.061,0.681,0.256,0.216,0.569,0.007,0.169,0.192,0.095,0.160,0.385,0.103,1.164,0.142,0.389,0.001
Agam,0.000,0.588,1.437,0.568,0.912,-,3.527,0.103,0.094,0.310,0.364,0.247,1.147,0.077,0.065,0.315,0.199,0.038,0.887,0.138,0.195,0.331,0.010,0.067,0.264,0.046,0.167,0.241,0.166,0.704,0.096,0.268,0.000
Lima Puluh Kota,0.000,0.292,2.493,0.619,1.844,-,4.261,0.204,0.133,0.459,0.741,0.036,1.114,0.079,0.036,0.292,0.291,0.039,1.367,0.029,0.095,1.008,0.002,0.045,0.380,0.023,0.149,0.725,0.219,1.280,0.173,0.226,0.001
Pasaman,0.000,0.228,1.694,0.277,0.796,-,3.316,0.184,0.147,0.305,0.329,0.030,1.072,0.069,0.069,0.319,0.253,0.061,0.808,0.098,0.147,0.500,0.001,0.044,0.340,0.051,0.120,0.242,0.271,1.144,0.180,0.257,0.002
Solok Selatan,0.000,0.464,1.083,0.385,0.556,-,3.858,0.074,0.144,0.404,0.292,0.049,0.437,0.055,0.023,0.572,0.176,0.032,0.724,0.014,0.102,0.511,0.002,0.028,0.116,0.030,0.053,0.188,0.213,0.318,0.148,0.161,0.000
