Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Purwakarta,0.000,0.376,1.089,0.602,1.123,-,4.709,0.158,0.144,0.838,0.190,0.115,0.081,0.118,0.328,0.127,0.775,0.278,0.886,0.087,0.358,0.682,0.543,0.298,0.432,0.174,0.169,0.453,0.692,0.960,0.307,0.359,0.000
Karawang,0.000,0.422,1.350,0.414,1.731,-,4.931,0.217,0.269,1.525,0.262,0.325,0.293,0.117,0.512,0.091,0.860,0.118,0.472,0.248,0.360,0.832,0.748,0.277,0.360,0.353,0.301,0.543,0.607,1.018,0.356,0.496,0.006
Bekasi,0.000,0.521,1.018,0.510,1.331,-,3.037,0.264,0.224,1.598,0.319,0.377,0.212,0.168,0.254,0.096,0.692,0.214,0.694,0.223,0.312,0.984,0.612,0.422,0.200,0.312,0.529,0.305,0.256,0.894,0.326,0.606,0.000
Bandung Barat,0.000,0.166,1.448,0.436,1.017,-,4.744,0.167,0.079,0.510,0.105,0.072,0.140,0.048,0.181,0.050,0.797,0.056,0.633,0.049,0.177,0.355,0.447,0.449,0.443,0.144,0.155,0.227,0.637,0.922,0.282,0.141,0.000
Pangandaran,0.000,0.239,1.315,0.298,1.499,-,4.188,0.167,0.370,0.150,0.124,0.283,0.176,0.228,0.617,0.124,0.432,0.087,0.581,0.195,0.318,0.710,0.210,0.376,0.668,0.094,0.185,0.503,0.403,1.066,0.229,0.411,0.001
Kota Bogor,0.000,0.624,1.054,0.377,0.819,-,3.324,0.143,0.224,0.907,0.252,0.406,0.187,0.196,0.249,0.066,0.963,0.125,0.433,0.126,0.359,0.418,0.572,0.421,0.282,0.272,0.177,0.369,0.257,0.713,0.217,0.556,0.003
Kota Sukabumi,0.000,0.842,1.052,0.629,1.137,-,3.604,0.235,0.091,0.567,0.113,0.158,0.109,0.084,0.155,0.113,0.804,0.138,0.747,0.092,0.358,0.609,0.817,0.304,0.679,0.301,0.237,0.258,0.413,0.828,0.387,0.157,0.001
Kota Bandung,0.000,0.759,1.001,0.468,1.318,-,3.616,0.272,0.130,0.722,0.308,0.507,0.318,0.172,0.514,0.191,0.864,0.092,0.499,0.164,0.481,0.359,0.696,0.498,0.504,0.280,0.351,0.414,0.258,0.759,0.345,0.239,0.000
Kota Cirebon,0.000,0.703,0.946,0.583,1.493,-,3.421,0.280,0.381,2.247,0.268,0.279,0.344,0.319,0.950,0.244,1.107,0.126,0.590,0.318,0.544,0.783,0.418,0.533,0.685,0.368,0.320,0.270,0.095,0.753,0.269,1.452,0.000
Kota Bekasi,0.000,0.916,0.899,0.603,1.043,-,2.589,0.341,0.290,1.279,0.323,0.242,0.317,0.234,0.218,0.120,0.715,0.089,0.595,0.137,0.277,0.707,0.587,0.457,0.418,0.544,0.428,0.375,0.259,0.840,0.323,0.278,0.003
Kota Depok,0.000,0.677,0.999,0.585,1.314,-,2.976,0.177,0.276,1.333,0.245,0.315,0.191,0.218,0.229,0.086,0.637,0.060,0.333,0.156,0.368,0.197,0.402,0.394,0.299,0.414,0.252,0.272,0.212,0.764,0.340,0.499,0.005
Kota Cimahi,0.000,0.816,1.064,0.664,1.259,-,3.206,0.238,0.144,0.877,0.240,0.122,0.223,0.123,0.359,0.122,0.857,0.081,0.873,0.100,0.334,0.508,0.538,0.482,0.537,0.392,0.261,0.533,0.384,0.545,0.306,0.227,0.006
Kota Tasikmalaya,0.000,0.922,1.991,0.633,2.873,-,6.706,0.529,0.340,0.429,0.212,0.138,0.112,0.180,2.974,0.203,0.987,0.147,1.040,0.231,0.682,0.891,1.001,0.623,1.118,0.200,0.179,0.642,0.486,0.839,0.366,0.604,0.000
Kota Banjar,0.000,0.374,1.408,0.498,1.842,-,4.194,0.261,0.363,0.315,0.106,0.220,0.139,0.205,0.990,0.081,0.752,0.086,0.688,0.118,0.471,0.525,0.351,0.376,0.411,0.042,0.251,0.180,0.198,0.656,0.248,0.840,0.000
Cilacap,0.000,0.212,1.137,0.271,1.595,-,3.263,0.118,0.213,0.656,0.062,0.221,0.061,0.140,0.413,0.074,0.401,0.024,0.354,0.062,0.172,0.522,0.086,0.531,0.405,0.061,0.101,0.253,0.190,0.926,0.215,0.615,0.000
Banyumas,0.000,0.353,1.334,0.539,2.708,-,4.234,0.255,0.269,1.411,0.136,0.167,0.052,0.229,0.518,0.139,0.632,0.055,0.566,0.098,0.515,0.668,0.186,0.586,0.407,0.114,0.065,0.326,0.166,1.105,0.228,0.543,0.002
Purbalingga,0.000,0.135,0.747,0.502,1.911,-,3.159,0.214,0.156,1.285,0.065,0.106,0.047,0.151,0.300,0.067,0.519,0.046,0.544,0.092,0.306,0.603,0.134,0.560,0.272,0.058,0.040,0.175,0.099,1.018,0.239,0.193,0.000
Banjarnegara,0.000,0.091,1.131,0.491,1.811,-,4.310,0.224,0.133,0.787,0.109,0.769,0.039,0.120,0.737,0.070,0.490,0.035,0.585,0.102,0.300,0.614,0.210,0.477,0.544,0.108,0.025,0.246,0.202,1.193,0.201,0.131,0.001
Kebumen,0.000,0.223,0.815,0.493,1.531,-,2.216,0.088,0.114,0.945,0.067,0.163,0.052,0.092,0.347,0.065,0.277,0.034,0.579,0.083,0.273,0.405,0.106,0.395,0.500,0.102,0.101,0.197,0.045,1.119,0.131,0.537,0.002
Purworejo,0.000,0.100,1.483,0.616,1.790,-,2.572,0.141,0.091,0.702,0.062,0.215,0.027,0.192,0.386,0.054,0.291,0.019,0.459,0.099,0.322,0.213,0.049,0.353,0.361,0.058,0.048,0.227,0.120,1.276,0.119,0.467,0.001
Wonosobo,0.000,0.284,0.796,0.520,2.158,-,5.794,0.102,0.032,0.913,0.078,0.516,0.035,0.094,0.427,0.068,0.480,0.059,0.524,0.066,0.460,0.551,0.027,0.376,0.595,0.096,0.009,0.222,0.155,1.724,0.195,0.147,0.000
Magelang,0.000,0.144,1.175,0.408,2.013,-,5.343,0.125,0.057,0.992,0.101,0.240,0.013,0.332,0.363,0.070,0.518,0.025,0.474,0.189,0.376,0.507,0.096,0.219,0.633,0.119,0.020,0.205,0.152,1.809,0.142,0.269,0.003
Boyolali,0.000,0.176,0.893,0.397,0.939,-,4.203,0.091,0.076,1.217,0.116,0.498,0.052,0.642,0.492,0.053,0.496,0.013,0.965,0.100,0.310,0.255,0.137,0.573,0.611,0.131,0.062,0.191,0.173,1.995,0.159,0.661,0.000
Klaten,0.000,0.205,0.927,0.396,1.132,-,4.520,0.090,0.187,0.751,0.122,0.237,0.025,0.875,0.573,0.067,0.460,0.032,0.761,0.115,0.368,0.411,0.145,0.482,0.297,0.078,0.065,0.090,0.037,1.788,0.114,0.532,0.000
Sukoharjo,0.000,0.289,1.319,0.376,1.100,-,4.698,0.156,0.209,0.963,0.178,0.471,0.038,0.774,0.762,0.069,0.563,0.035,0.686,0.108,0.427,0.235,0.100,0.287,0.385,0.187,0.110,0.043,0.081,2.054,0.170,0.885,0.000
Wonogiri,0.000,0.089,0.990,0.402,0.933,-,3.847,0.086,0.234,1.084,0.165,0.661,0.020,0.477,0.340,0.057,0.415,0.044,0.335,0.131,0.247,0.357,0.046,0.158,0.454,0.072,0.028,0.062,0.079,2.080,0.140,0.292,0.000
Karanganyar,0.000,0.138,1.002,0.361,0.744,-,2.736,0.085,0.133,0.823,0.080,0.192,0.018,0.583,0.421,0.056,0.471,0.027,0.642,0.050,0.230,0.228,0.073,0.262,0.130,0.095,0.078,0.038,0.093,1.606,0.130,0.323,0.000
Sragen,0.000,0.132,1.258,0.476,1.096,-,4.310,0.123,0.257,1.028,0.109,0.140,0.053,0.572,0.345,0.079,0.482,0.040,1.261,0.039,0.187,0.340,0.097,0.375,0.329,0.154,0.100,0.069,0.116,1.603,0.114,0.899,0.004
Grobogan,0.000,0.149,0.636,0.337,0.941,-,3.987,0.085,0.325,0.986,0.095,0.131,0.384,0.208,0.234,0.051,0.546,0.056,0.890,0.049,0.151,0.772,0.024,0.575,0.127,0.123,0.358,0.094,0.151,1.271,0.118,0.976,0.000
Blora,0.000,0.174,0.875,0.409,1.407,-,4.792,0.137,0.514,1.061,0.117,0.675,0.219,0.168,0.655,0.067,0.583,0.035,1.386,0.048,0.278,1.754,0.024,0.254,0.487,0.141,0.246,0.122,0.152,2.274,0.137,0.902,0.002
Rembang,0.000,0.087,0.814,0.350,1.127,-,4.594,0.066,0.271,1.138,0.177,0.450,0.163,0.220,0.439,0.067,0.631,0.084,1.142,0.215,0.246,1.049,0.034,0.321,0.690,0.257,0.228,0.121,0.179,2.422,0.193,0.689,0.002
Pati,0.000,0.182,0.888,0.510,1.755,-,4.127,0.158,0.344,0.912,0.188,0.337,0.275,0.236,0.643,0.066,0.578,0.085,0.891,0.450,0.210,0.758,0.027,0.435,0.269,0.162,0.264,0.052,0.124,1.930,0.179,0.722,0.000
Kudus,0.000,0.226,0.841,0.492,1.177,-,3.913,0.130,0.321,1.062,0.196,0.546,0.175,0.314,0.551,0.069,0.563,0.049,0.641,0.479,0.302,0.979,0.023,0.306,0.481,0.094,0.133,0.080,0.101,2.513,0.188,0.644,0.000
Jepara,0.000,0.156,1.030,0.246,1.209,-,3.871,0.137,0.393,0.902,0.122,0.253,0.106,0.225,0.325,0.056,0.629,0.089,0.673,0.351,0.174,0.832,0.025,0.368,0.305,0.127,0.077,0.063,0.123,1.890,0.236,0.775,0.001
Demak,0.000,0.215,1.414,0.562,1.251,-,5.551,0.100,0.653,0.908,0.174,0.223,0.157,0.449,0.455,0.084,0.673,0.083,0.882,0.240,0.187,1.108,0.040,0.560,0.287,0.218,0.344,0.193,0.187,2.372,0.252,1.001,0.000
Semarang,0.000,0.261,1.001,0.351,1.186,-,3.283,0.123,0.122,0.972,0.138,0.157,0.027,0.392,0.225,0.065,0.475,0.029,0.400,0.077,0.225,0.442,0.122,0.310,0.452,0.174,0.049,0.203,0.138,1.515,0.172,0.148,0.000
Temanggung,0.000,0.095,0.907,0.363,1.327,-,3.780,0.047,0.033,0.740,0.073,0.191,0.022,0.174,0.264,0.061,0.666,0.025,0.598,0.053,0.168,0.711,0.026,0.258,0.436,0.048,0.014,0.216,0.132,1.417,0.128,0.099,0.000
Kendal,0.000,0.213,1.059,0.368,0.876,-,4.493,0.145,0.167,1.128,0.163,0.407,0.034,0.291,0.957,0.084,0.552,0.033,0.694,0.318,0.272,0.878,0.072,0.523,0.290,0.167,0.121,0.152,0.106,2.015,0.192,0.638,0.000
Batang,0.000,0.121,1.106,0.433,1.372,-,6.333,0.122,0.218,1.707,0.106,0.297,0.021,0.211,0.687,0.053,0.698,0.030,1.118,0.586,0.409,0.766,0.100,0.479,0.338,0.055,0.014,0.246,0.064,1.808,0.166,0.878,0.000
Pekalongan,0.000,0.139,1.207,0.548,1.832,-,6.057,0.197,0.414,1.318,0.113,0.703,0.084,0.175,0.720,0.044,0.633,0.042,1.152,0.511,0.462,0.936,0.172,0.500,0.959,0.118,0.043,0.502,0.062,2.058,0.162,0.920,0.000
Pemalang,0.000,0.269,1.445,0.837,2.269,-,7.011,0.254,0.371,1.855,0.137,0.429,0.190,0.209,0.907,0.076,0.662,0.117,0.974,0.416,0.285,0.950,0.259,0.692,0.406,0.126,0.095,0.329,0.109,1.303,0.195,0.665,0.000
Tegal,0.000,0.223,0.994,0.855,2.186,-,5.271,0.198,0.167,2.349,0.134,0.153,0.260,0.224,0.760,0.060,0.635,0.037,0.977,0.300,0.289,0.630,0.288,0.679,0.398,0.134,0.083,0.295,0.129,0.788,0.195,0.507,0.000
Brebes,0.000,0.201,1.278,0.518,1.765,-,6.124,0.259,0.215,2.012,0.098,0.162,0.181,0.100,1.093,0.099,0.829,0.164,0.632,0.444,0.340,0.855,0.343,0.721,0.500,0.171,0.100,0.381,0.141,0.974,0.206,1.215,0.002
Kota Magelang,0.000,0.305,1.089,0.546,1.494,-,3.535,0.153,0.144,1.109,0.394,0.433,0.039,0.577,0.806,0.129,0.666,0.063,0.504,0.169,0.520,0.685,0.183,0.214,0.388,0.210,0.076,0.264,0.232,1.912,0.188,0.149,0.002
Kota Surakarta,0.000,0.726,1.443,0.503,1.806,-,5.387,0.212,0.427,1.266,0.260,1.285,0.090,0.744,1.205,0.111,0.779,0.060,0.729,0.295,0.833,0.665,0.164,0.307,1.040,0.302,0.260,0.068,0.113,2.600,0.201,1.009,0.001
Kota Salatiga,0.000,0.940,1.360,0.523,2.306,-,4.221,0.153,0.179,1.460,0.362,0.514,0.031,0.533,0.688,0.137,0.594,0.042,0.733,0.302,0.758,0.494,0.152,0.205,0.485,0.321,0.113,0.117,0.184,2.306,0.226,0.141,0.007
Kota Semarang,0.000,0.498,1.002,0.440,1.207,-,2.964,0.122,0.262,1.528,0.306,0.191,0.074,0.468,0.399,0.189,0.596,0.041,0.533,0.211,0.427,0.445,0.124,0.299,0.522,0.377,0.352,0.191,0.130,1.934,0.214,0.549,0.000
Kota Pekalongan,0.000,0.264,1.111,0.431,1.541,-,6.006,0.263,0.237,1.905,0.233,0.416,0.063,0.325,0.680,0.112,0.713,0.098,0.545,0.495,0.536,0.927,0.319,0.497,0.539,0.122,0.072,0.409,0.109,1.943,0.251,0.978,0.005
Kota Tegal,0.000,0.417,1.279,0.725,2.036,-,5.387,0.281,0.206,3.987,0.183,0.210,0.250,0.253,0.762,0.081,0.743,0.118,0.905,0.390,0.442,0.680,0.323,0.592,0.652,0.275,0.043,0.450,0.090,1.548,0.290,1.114,0.007
Kulon Progo,0.000,0.090,1.225,0.476,2.677,-,4.947,0.102,0.106,0.530,0.057,1.236,0.020,0.340,1.240,0.081,0.507,0.033,0.579,0.293,0.826,0.204,0.089,0.165,0.336,0.110,0.056,0.096,0.141,2.158,0.116,0.245,0.000
Bantul,0.000,0.320,1.070,0.568,2.359,-,4.021,0.122,0.180,1.094,0.145,0.826,0.047,0.481,1.159,0.177,0.608,0.031,0.793,0.458,1.048,0.405,0.174,0.401,0.459,0.269,0.128,0.132,0.200,2.126,0.249,0.462,0.003
Gunung Kidul,0.000,0.156,1.192,0.451,2.246,-,5.509,0.076,0.071,0.727,0.042,0.880,0.014,0.270,0.677,0.098,0.364,0.029,0.478,0.185,0.561,0.306,0.026,0.139,0.539,0.133,0.040,0.200,0.071,2.008,0.137,0.222,0.000
Sleman,0.000,0.667,1.624,1.008,2.883,-,4.942,0.131,0.237,0.789,0.226,1.567,0.057,0.579,1.328,0.157,0.698,0.053,1.104,0.660,1.228,0.642,0.112,0.282,0.658,0.429,0.121,0.127,0.203,2.335,0.245,0.472,0.000
Kota Yogyakarta,0.000,0.743,1.542,0.592,2.006,-,4.484,0.212,0.303,1.587,0.336,1.470,0.072,0.760,1.579,0.235,0.791,0.155,0.510,0.605,1.496,0.412,0.194,0.332,0.396,0.487,0.176,0.214,0.139,2.469,0.206,0.643,0.003
Pacitan,0.000,0.087,0.921,0.368,1.310,-,2.758,0.180,0.087,1.183,0.067,0.455,0.121,0.283,0.247,0.042,0.215,0.072,0.441,0.080,0.077,0.141,0.003,0.115,0.181,0.069,0.053,0.104,0.134,2.746,0.109,0.283,0.000
Ponorogo,0.000,0.215,0.887,0.291,1.575,-,4.143,0.115,0.292,0.564,0.103,0.937,0.033,0.355,0.532,0.070,0.521,0.037,0.638,0.058,0.320,0.284,0.020,0.071,0.238,0.054,0.088,0.101,0.139,2.526,0.162,0.501,0.000
Trenggalek,0.000,0.136,0.446,0.341,1.297,-,2.308,0.121,0.259,1.332,0.097,0.410,0.124,0.359,0.352,0.062,0.436,0.049,0.659,0.081,0.188,0.277,0.017,0.134,0.566,0.160,0.066,0.288,0.129,1.682,0.163,0.234,0.000
Tulungagung,0.000,0.127,0.645,0.304,1.407,-,3.139,0.111,0.464,0.350,0.258,0.477,0.199,0.454,0.416,0.133,0.715,0.065,0.720,0.123,0.344,0.677,0.042,0.097,0.259,0.124,0.101,0.282,0.116,1.400,0.155,0.421,0.000
Blitar,0.000,0.144,0.687,0.264,1.533,-,2.544,0.042,0.390,1.236,0.219,0.631,0.049,0.575,0.359,0.068,0.813,0.070,0.761,0.060,0.245,0.555,0.013,0.090,0.752,0.169,0.032,0.622,0.083,1.507,0.133,0.365,0.000
Kediri,0.000,0.174,0.617,0.433,1.384,-,3.223,0.116,0.397,0.922,0.205,0.565,0.130,0.246,0.455,0.090,0.694,0.094,1.152,0.053,0.195,0.608,0.032,0.335,0.453,0.111,0.061,0.137,0.117,1.730,0.160,0.602,0.000
Malang,0.000,0.223,0.648,0.390,1.347,-,2.297,0.057,0.259,0.660,0.225,0.417,0.054,0.397,0.314,0.088,1.075,0.055,0.634,0.090,0.191,0.465,0.040,0.150,0.501,0.204,0.035,0.283,0.308,1.460,0.211,0.186,0.001
Lumajang,0.000,0.252,0.830,0.225,1.359,-,2.582,0.142,0.330,0.290,0.250,0.471,0.145,0.199,0.154,0.087,0.750,0.084,0.823,0.124,0.098,0.268,0.036,0.208,0.435,0.062,0.036,0.108,0.054,1.230,0.199,0.323,0.000
Jember,0.000,0.121,0.830,0.337,1.251,-,2.767,0.062,0.296,0.504,0.213,0.447,0.090,0.228,0.203,0.058,0.841,0.092,0.713,0.074,0.174,1.105,0.022,0.080,0.556,0.206,0.077,0.192,0.142,1.195,0.246,0.653,0.001
Banyuwangi,0.000,0.239,1.006,0.392,1.569,-,2.774,0.109,0.358,0.419,0.282,0.829,0.110,0.373,0.356,0.115,0.706,0.078,0.910,0.167,0.289,0.501,0.031,0.050,0.967,0.259,0.079,0.449,0.092,0.938,0.211,0.755,0.001
Bondowoso,0.000,0.082,0.571,0.442,0.988,-,2.468,0.024,0.186,1.312,0.066,0.179,0.053,0.121,0.073,0.029,0.723,0.046,2.336,0.062,0.045,0.849,0.011,0.110,0.482,0.081,0.018,0.177,0.088,1.149,0.196,0.222,0.000
Situbondo,0.000,0.343,1.151,0.557,1.520,-,3.571,0.043,0.387,0.379,0.211,0.435,0.109,0.217,0.147,0.105,0.693,0.095,0.992,0.128,0.142,0.675,0.064,0.072,0.323,0.395,0.034,0.272,0.134,1.099,0.163,0.439,0.001
Probolinggo,0.000,0.219,1.063,0.461,0.905,-,2.644,0.025,0.240,0.450,0.189,0.245,0.067,0.195,0.106,0.054,0.667,0.127,1.284,0.117,0.067,0.740,0.006,0.095,0.716,0.135,0.063,0.237,0.161,1.332,0.240,0.779,0.000
Pasuruan,0.000,0.314,0.906,0.696,0.869,-,2.422,0.078,0.214,0.410,0.302,0.354,0.075,0.253,0.138,0.095,1.120,0.138,1.668,0.155,0.121,0.656,0.021,0.080,0.524,0.257,0.088,0.177,0.077,1.301,0.289,0.657,0.004
Sidoarjo,0.000,0.548,0.687,0.314,0.866,-,1.983,0.081,0.342,0.465,0.481,0.419,0.124,0.363,0.136,0.160,1.086,0.110,0.638,0.201,0.241,0.772,0.081,0.199,0.449,0.356,0.309,0.204,0.104,1.403,0.242,0.516,0.000
Mojokerto,0.000,0.467,0.901,0.840,1.324,-,3.798,0.124,0.307,0.648,0.355,0.299,0.138,0.322,0.137,0.079,1.057,0.078,1.493,0.169,0.133,1.294,0.039,0.128,1.187,0.355,0.146,0.231,0.156,1.401,0.236,0.847,0.000
Jombang,0.000,0.322,0.885,0.483,1.184,-,3.739,0.134,0.392,0.259,0.285,1.145,0.112,0.361,0.462,0.089,0.957,0.129,1.075,0.308,0.427,1.251,0.026,0.217,1.074,0.286,0.162,0.285,0.204,1.642,0.254,1.155,0.000
Nganjuk,0.000,0.161,0.621,0.267,0.837,-,3.337,0.069,0.533,0.629,0.216,0.827,0.115,0.138,0.569,0.057,0.940,0.069,1.195,0.083,0.181,0.614,0.023,0.152,0.634,0.102,0.109,0.179,0.106,1.501,0.200,0.642,0.000
Madiun,0.000,0.120,0.875,0.497,1.348,-,3.252,0.055,0.601,0.698,0.138,0.648,0.067,0.253,0.353,0.077,0.688,0.045,0.805,0.090,0.241,0.601,0.015,0.081,0.563,0.124,0.126,0.094,0.103,1.825,0.182,0.647,0.000
Magetan,0.000,0.305,1.196,0.468,1.480,-,3.539,0.122,0.816,0.375,0.162,0.593,0.159,0.472,0.549,0.059,0.682,0.055,0.872,0.061,0.348,0.691,0.030,0.100,0.543,0.202,0.075,0.171,0.233,1.819,0.213,0.555,0.002
Ngawi,0.000,0.112,1.018,0.385,1.486,-,4.412,0.150,0.532,1.062,0.159,0.599,0.181,0.234,0.342,0.071,0.606,0.093,0.687,0.078,0.256,0.545,0.033,0.182,0.550,0.211,0.137,0.117,0.134,2.213,0.182,0.896,0.000
Bojonegoro,0.000,0.245,0.892,0.441,1.557,-,4.491,0.055,0.428,0.533,0.274,0.415,0.331,0.155,0.282,0.074,0.805,0.067,0.882,0.103,0.140,1.096,0.011,0.199,0.667,0.076,0.236,0.185,0.096,1.644,0.222,0.945,0.000
Tuban,0.000,0.173,0.780,0.544,1.507,-,4.878,0.104,0.627,0.408,0.295,0.316,0.178,0.123,0.311,0.066,0.713,0.077,1.507,0.183,0.170,1.571,0.010,0.245,0.515,0.180,0.300,0.176,0.106,1.239,0.195,1.457,0.019
Lamongan,0.000,0.269,0.733,0.590,1.402,-,3.217,0.079,0.245,0.151,0.266,0.357,0.189,0.261,0.162,0.067,0.842,0.077,0.768,0.145,0.161,0.913,0.026,0.150,0.535,0.241,0.341,0.110,0.071,1.472,0.177,1.088,0.004
Gresik,0.000,0.418,0.736,0.433,1.189,-,3.805,0.109,0.316,0.460,0.365,0.332,0.145,0.331,0.103,0.102,0.938,0.111,1.098,0.138,0.181,1.255,0.066,0.203,0.424,0.337,0.442,0.224,0.144,2.312,0.236,0.986,0.001
Bangkalan,0.000,0.208,1.038,0.224,0.892,-,2.079,0.062,0.219,0.185,0.164,0.082,0.194,0.122,0.029,0.092,0.556,0.074,0.876,0.032,0.024,0.548,0.024,0.094,0.572,0.135,0.098,0.172,0.096,0.774,0.108,0.509,0.000
Sampang,0.000,0.083,0.690,0.152,0.532,-,1.839,0.034,0.230,0.546,0.096,0.090,0.284,0.076,0.015,0.038,0.308,0.046,0.669,0.011,0.017,0.673,0.005,0.027,2.090,0.337,0.063,0.099,0.210,0.508,0.117,0.364,0.000
Pamekasan,0.000,0.166,0.745,0.517,1.150,-,2.251,0.048,0.221,0.622,0.125,0.129,0.174,0.076,0.017,0.032,0.324,0.104,1.350,0.045,0.083,1.560,0.012,0.091,0.519,0.533,0.036,0.145,0.122,0.926,0.243,0.207,0.000
Sumenep,0.000,0.364,1.304,0.435,2.178,-,4.047,0.197,0.506,0.843,0.240,0.800,0.406,0.604,0.142,0.074,0.532,0.180,1.386,0.280,0.173,0.679,0.108,0.102,0.722,0.482,0.056,0.237,0.149,1.833,0.244,0.527,0.000
Kota Kediri,0.000,0.497,0.937,0.402,1.256,-,3.134,0.127,0.619,0.588,0.404,0.889,0.152,0.326,0.541,0.158,0.881,0.066,1.140,0.106,0.425,0.803,0.113,0.312,0.640,0.228,0.157,0.201,0.100,1.648,0.169,0.451,0.000
Kota Blitar,0.000,0.565,1.004,0.463,2.056,-,3.458,0.061,0.596,1.225,0.368,0.875,0.094,0.530,0.784,0.184,0.903,0.050,1.523,0.204,0.477,0.870,0.069,0.164,0.478,0.444,0.109,0.715,0.086,1.442,0.223,0.642,0.003
Kota Malang,0.000,0.817,0.812,0.523,1.189,-,2.097,0.077,0.271,0.753,0.349,0.906,0.043,0.400,0.402,0.153,0.950,0.059,0.622,0.213,0.521,0.443,0.059,0.130,0.331,0.331,0.169,0.407,0.163,1.159,0.223,0.290,0.002
Kota Probolinggo,0.000,0.383,0.743,0.366,1.021,-,2.147,0.054,0.311,0.418,0.307,0.376,0.060,0.231,0.110,0.134,0.754,0.023,0.639,0.226,0.179,0.521,0.037,0.207,0.456,0.267,0.234,0.357,0.099,0.925,0.257,0.868,0.002
Kota Pasuruan,0.000,0.387,0.559,0.512,1.546,-,2.948,0.058,0.279,0.727,0.451,0.318,0.102,0.374,0.180,0.158,1.508,0.200,1.159,0.281,0.195,0.868,0.044,0.079,0.668,0.224,0.177,0.123,0.098,1.621,0.168,1.570,0.003
Kota Mojokerto,0.000,0.565,0.754,0.397,1.190,-,3.043,0.093,0.297,0.621,0.438,0.610,0.052,0.411,0.279,0.175,0.913,0.054,0.903,0.188,0.339,1.176,0.055,0.135,0.313,0.190,0.430,0.354,0.102,1.207,0.212,0.514,0.008
Kota Madiun,0.000,0.449,1.128,0.344,1.810,-,3.281,0.123,0.857,1.228,0.318,1.053,0.060,0.497,0.592,0.131,0.884,0.038,0.899,0.142,0.479,0.398,0.059,0.162,0.609,0.385,0.326,0.253,0.148,1.914,0.238,0.751,0.004
Kota Surabaya,0.000,0.706,0.834,0.350,1.193,-,2.305,0.147,0.471,0.676,0.429,0.794,0.345,0.532,0.307,0.195,1.074,0.073,0.697,0.224,0.469,0.737,0.138,0.215,0.266,0.362,0.387,0.174,0.149,1.610,0.244,0.420,0.001
Kota Batu,0.000,0.289,0.744,0.382,1.070,-,1.723,0.108,0.241,0.420,0.365,0.503,0.046,0.512,0.309,0.171,1.037,0.096,0.681,0.067,0.286,0.356,0.060,0.302,0.146,0.155,0.065,0.345,0.184,1.393,0.224,0.165,0.010
Pandeglang,0.000,0.073,1.363,0.462,1.365,-,3.936,0.115,0.273,0.510,0.117,0.065,0.326,0.017,0.076,0.101,0.660,0.082,0.738,0.065,0.045,0.601,0.380,0.240,0.756,0.148,0.061,0.416,0.672,0.984,0.265,0.567,0.001
Lebak,0.000,0.144,1.441,0.788,0.949,-,4.550,0.089,0.200,0.492,0.123,0.215,0.145,0.023,0.109,0.039,0.797,0.186,1.041,0.120,0.125,0.429,0.391,0.178,0.416,0.194,0.047,0.275,0.351,1.267,0.212,0.599,0.000
Tangerang,0.000,0.455,1.378,0.505,1.372,-,3.559,0.260,0.352,1.093,0.317,0.223,0.464,0.145,0.235,0.121,0.737,0.235,0.684,0.193,0.280,0.803,0.480,0.477,0.299,0.302,0.226,0.325,0.293,0.844,0.261,0.865,0.000
Serang,0.000,0.159,1.463,0.486,0.613,-,4.470,0.155,0.175,1.046,0.096,0.117,0.311,0.071,0.070,0.097,0.861,0.144,1.090,0.061,0.080,0.750,0.374,0.521,0.516,0.318,0.248,0.252,0.326,0.716,0.240,1.311,0.001
Kota Tangerang,0.000,0.907,1.160,0.491,1.007,-,3.303,0.281,0.317,1.196,0.369,0.307,0.287,0.265,0.283,0.131,0.854,0.095,0.776,0.235,0.398,0.769,0.507,0.671,0.488,0.557,0.395,0.322,0.246,0.896,0.361,0.682,0.002
