Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Muaro Jambi,0.000,0.192,0.717,0.151,1.035,-,2.729,0.043,0.228,0.349,0.153,0.148,0.240,0.085,0.050,0.168,0.410,0.133,0.242,0.055,0.101,0.500,0.031,0.161,0.086,0.093,0.169,0.106,0.197,0.410,0.176,0.247,0.002
Tanjung Jabung Timur,0.000,0.452,1.089,0.373,2.166,-,3.240,0.060,0.188,0.586,0.138,0.428,0.271,0.113,0.171,0.187,0.217,0.068,0.577,0.093,0.255,0.806,0.037,0.051,0.421,0.156,0.184,0.392,0.157,0.740,0.145,0.530,0.000
Tanjung Jabung Barat,0.000,0.395,0.831,0.308,2.122,-,2.332,0.042,0.091,0.734,0.079,0.055,0.152,0.140,0.068,0.050,0.173,0.052,0.704,0.025,0.052,0.687,0.100,0.055,0.322,0.064,0.165,0.212,0.038,0.547,0.160,0.378,0.000
Tebo,0.000,0.206,1.157,0.248,1.455,-,2.584,0.080,0.253,0.545,0.142,0.064,0.356,0.103,0.069,0.312,0.478,0.056,0.495,0.025,0.129,0.388,0.019,0.158,0.046,0.116,0.068,0.591,0.164,0.527,0.156,0.252,0.003
Bungo,0.000,0.215,1.348,0.215,0.786,-,3.006,0.054,0.167,0.271,0.160,0.135,0.301,0.074,0.053,0.327,0.362,0.075,0.964,0.107,0.199,0.651,0.036,0.136,0.076,0.126,0.161,0.379,0.057,0.259,0.189,0.309,0.003
Kota Jambi,0.000,0.441,1.200,0.479,2.334,-,3.177,0.156,0.234,0.951,0.236,0.121,0.520,0.155,0.159,0.247,0.486,0.089,0.823,0.129,0.253,0.797,0.124,0.254,0.276,0.299,0.309,0.340,0.272,0.509,0.254,0.641,0.002
Kota Sungai Penuh,0.000,0.495,1.603,0.824,1.085,-,3.299,0.173,0.161,0.426,0.340,0.089,1.098,0.056,0.050,0.383,0.273,0.041,0.582,0.087,0.140,0.907,0.023,0.153,0.077,0.074,0.223,0.095,0.078,0.712,0.121,0.109,0.000
Ogan Komering Ulu,0.000,0.182,1.137,0.219,1.209,-,3.081,0.046,0.158,0.670,0.078,0.051,0.056,0.093,0.118,0.083,0.563,0.042,0.444,0.034,0.097,0.536,0.020,0.189,0.160,0.229,0.154,0.362,0.131,1.022,0.169,0.102,0.000
Ogan Komering Ilir,0.000,0.222,0.541,0.214,1.051,-,3.224,0.070,0.180,0.466,0.091,0.080,0.094,0.116,0.019,0.048,0.316,0.068,0.786,0.032,0.062,0.473,0.015,0.150,0.214,0.129,0.139,0.173,0.117,0.666,0.163,0.788,0.000
Muara Enim,0.000,0.195,1.639,0.169,1.155,-,3.064,0.041,0.205,0.528,0.034,0.116,0.093,0.036,0.102,0.068,0.526,0.050,0.686,0.036,0.108,0.858,0.008,0.128,0.431,0.135,0.090,0.409,0.256,0.395,0.183,0.564,0.001
Lahat,0.000,0.283,1.390,0.319,0.741,-,3.569,0.069,0.113,0.369,0.100,0.024,0.121,0.025,0.062,0.044,0.520,0.100,0.729,0.026,0.057,0.572,0.021,0.141,0.364,0.061,0.059,0.122,0.184,0.545,0.142,0.274,0.000
Musi Rawas,0.000,0.316,1.372,0.193,1.080,-,3.088,0.119,0.275,0.158,0.094,0.254,0.176,0.235,0.147,0.073,0.434,0.160,0.423,0.059,0.280,0.652,0.015,0.200,0.151,0.085,0.022,0.414,0.269,0.796,0.202,0.480,0.004
Musi Banyuasin,0.000,0.183,1.441,0.238,0.947,-,2.696,0.033,0.134,0.214,0.079,0.057,0.092,0.053,0.054,0.045,0.324,0.072,0.525,0.031,0.047,0.588,0.052,0.101,0.273,0.074,0.108,0.325,0.225,0.462,0.148,0.282,0.005
Banyu Asin,0.000,0.167,1.576,0.203,0.600,-,3.398,0.048,0.202,0.499,0.087,0.278,0.080,0.069,0.190,0.125,0.471,0.165,0.428,0.128,0.204,0.834,0.034,0.099,0.454,0.173,0.192,0.211,0.176,0.474,0.257,0.816,0.003
Ogan Komering Ulu Selatan,0.000,0.157,1.389,0.153,0.750,-,2.935,0.062,0.184,0.138,0.087,0.023,0.093,0.068,0.019,0.049,0.285,0.166,0.225,0.019,0.016,0.446,0.023,0.190,0.083,0.043,0.025,0.247,0.075,1.100,0.126,0.134,0.000
Ogan Komering Ulu Timur,0.000,0.162,1.231,0.199,1.107,-,3.210,0.107,0.262,0.150,0.105,0.404,0.152,0.215,0.286,0.061,0.340,0.077,0.508,0.110,0.189,0.579,0.021,0.281,0.126,0.112,0.013,0.192,0.182,0.932,0.152,0.428,0.002
Ogan Ilir,0.000,0.099,1.674,0.199,1.400,-,3.550,0.039,0.178,0.242,0.108,0.379,0.046,0.047,0.198,0.060,0.303,0.089,0.592,0.152,0.293,0.670,0.019,0.139,0.577,0.072,0.113,0.223,0.116,0.195,0.215,0.893,0.001
Empat Lawang,0.000,0.115,1.259,0.157,0.758,-,2.856,0.016,0.090,0.285,0.033,0.128,0.078,0.054,0.068,0.038,0.533,0.082,0.717,0.046,0.108,0.485,0.002,0.187,0.298,0.109,0.009,0.204,0.188,0.522,0.141,0.390,0.000
Penukal Abab Lematang Ilir,0.000,0.317,1.154,0.222,0.770,-,2.608,0.051,0.099,0.385,0.065,0.048,0.140,0.023,0.067,0.049,0.468,0.116,0.605,0.036,0.042,0.457,0.032,0.204,0.320,0.071,0.120,0.328,0.321,0.581,0.156,0.769,0.001
Musi Rawas Utara,0.000,0.112,1.048,0.228,1.086,-,3.715,0.133,0.239,0.052,0.120,0.512,0.154,0.115,0.252,0.141,0.463,0.205,0.582,0.139,0.384,0.804,0.017,0.106,0.260,0.188,0.049,0.525,0.205,0.819,0.224,0.669,0.000
Kota Palembang,0.000,0.513,1.239,0.311,2.409,-,3.409,0.112,0.166,0.797,0.291,0.722,0.271,0.131,0.336,0.139,0.795,0.197,0.426,0.297,0.308,0.571,0.156,0.188,0.418,0.289,0.187,0.186,0.131,0.712,0.227,0.715,0.001
Kota Prabumulih,0.000,0.386,1.148,0.281,1.827,-,3.206,0.040,0.144,1.052,0.061,0.162,0.130,0.053,0.155,0.079,0.353,0.031,0.481,0.099,0.172,0.716,0.030,0.158,0.602,0.166,0.141,0.099,0.044,0.477,0.146,0.469,0.000
Kota Pagar Alam,0.000,0.198,0.910,0.356,0.356,-,3.501,0.063,0.108,0.078,0.066,0.375,0.185,0.047,0.350,0.028,0.801,0.102,0.867,0.189,0.278,0.592,0.012,0.238,0.404,0.083,0.013,0.092,0.122,0.505,0.202,0.112,0.000
Kota Lubuklinggau,0.000,0.395,1.151,0.189,1.850,-,3.665,0.112,0.238,0.953,0.211,0.839,0.658,0.375,0.530,0.221,1.132,0.098,0.393,0.177,0.695,0.824,0.073,0.571,0.132,0.301,0.126,0.127,0.069,0.657,0.284,0.541,0.001
Bengkulu Selatan,0.000,0.089,0.698,0.279,1.151,-,2.736,0.022,0.139,0.143,0.068,0.437,0.245,0.084,0.119,0.201,0.263,0.024,1.074,0.114,0.412,0.672,0.015,0.196,0.052,0.242,0.048,0.432,0.223,0.416,0.128,0.081,0.000
Rejang Lebong,0.000,0.096,0.893,0.209,0.789,-,3.178,0.038,0.030,0.549,0.045,0.185,0.262,0.094,0.185,0.158,0.550,0.042,0.619,0.058,0.225,0.153,0.003,0.282,0.309,0.079,0.032,0.219,0.254,0.567,0.158,0.127,0.001
Bengkulu Utara,0.000,0.091,1.167,0.248,1.490,-,3.016,0.041,0.131,0.533,0.087,0.277,0.271,0.125,0.260,0.216,0.347,0.081,0.643,0.039,0.148,0.137,0.002,0.387,0.259,0.141,0.015,0.296,0.154,1.095,0.142,0.322,0.001
Kaur,0.000,0.207,0.814,0.572,0.633,-,3.649,0.024,0.116,0.314,0.077,0.056,0.156,0.030,0.177,0.202,0.232,0.054,1.272,0.071,0.053,0.276,0.022,0.186,0.092,0.033,0.055,0.339,0.298,0.595,0.157,0.102,0.000
Seluma,0.000,0.107,0.595,0.223,1.313,-,2.690,0.037,0.134,0.266,0.067,0.242,0.238,0.071,0.086,0.188,0.286,0.024,0.733,0.053,0.207,0.339,0.007,0.180,0.081,0.107,0.020,0.292,0.373,0.897,0.115,0.216,0.001
Mukomuko,0.000,0.131,1.193,0.158,1.186,-,2.959,0.079,0.128,0.168,0.138,0.181,0.369,0.075,0.127,0.453,0.339,0.026,0.748,0.080,0.133,0.216,0.010,0.201,0.079,0.121,0.190,0.140,0.194,0.484,0.239,0.155,0.007
Lebong,0.000,0.257,0.775,0.279,1.479,-,3.811,0.044,0.075,0.536,0.141,0.230,0.362,0.119,0.177,0.159,0.365,0.124,0.547,0.155,0.305,0.160,0.015,0.292,0.253,0.035,0.070,0.134,0.221,1.320,0.201,0.203,0.001
Kepahiang,0.000,0.152,0.784,0.193,0.650,-,2.295,0.038,0.046,0.342,0.026,0.075,0.176,0.034,0.084,0.226,0.301,0.057,0.675,0.045,0.133,0.154,0.003,0.333,0.225,0.055,0.025,0.184,0.164,0.476,0.122,0.038,0.000
Bengkulu Tengah,0.000,0.112,0.659,0.236,1.318,-,2.855,0.059,0.098,0.371,0.051,0.194,0.190,0.079,0.158,0.213,0.375,0.068,0.554,0.117,0.179,0.385,0.004,0.199,0.411,0.130,0.062,0.613,0.195,0.759,0.184,0.201,0.000
Kota Bengkulu,0.000,0.332,0.984,0.301,1.594,-,3.101,0.062,0.093,1.117,0.121,0.149,0.221,0.079,0.254,0.138,0.514,0.039,0.380,0.157,0.221,0.327,0.018,0.245,0.697,0.342,0.359,0.290,0.207,0.343,0.245,0.569,0.000
Lampung Barat,0.000,0.169,1.304,0.252,0.855,-,2.638,0.044,0.095,0.288,0.033,0.087,0.051,0.078,0.068,0.027,0.279,0.023,0.488,0.030,0.053,0.250,0.024,0.250,0.140,0.053,0.007,0.227,0.119,0.884,0.076,0.198,0.000
Tanggamus,0.000,0.091,1.934,0.248,1.041,-,2.973,0.085,0.134,0.129,0.060,0.330,0.079,0.076,0.285,0.019,0.387,0.083,0.645,0.140,0.171,0.544,0.012,0.202,0.172,0.065,0.059,0.119,0.295,1.102,0.125,0.297,0.000
Lampung Selatan,0.000,0.186,1.561,0.366,0.809,-,2.477,0.106,0.176,0.250,0.084,0.192,0.113,0.104,0.163,0.038,0.344,0.066,0.591,0.053,0.154,0.789,0.038,0.398,0.088,0.056,0.213,0.128,0.095,0.649,0.143,0.544,0.002
Lampung Timur,0.000,0.154,1.559,0.244,1.260,-,3.401,0.071,0.210,0.754,0.100,0.287,0.046,0.258,0.225,0.026,0.335,0.058,0.407,0.045,0.135,0.590,0.008,0.377,0.009,0.104,0.045,0.225,0.177,1.199,0.159,0.791,0.000
Lampung Tengah,0.000,0.174,1.756,0.255,1.431,-,3.558,0.109,0.154,0.587,0.066,0.258,0.095,0.183,0.223,0.040,0.376,0.064,0.784,0.051,0.184,0.515,0.011,0.354,0.186,0.077,0.047,0.228,0.149,1.427,0.168,0.654,0.001
Lampung Utara,0.000,0.177,1.257,0.269,0.622,-,2.466,0.052,0.125,0.553,0.044,0.014,0.059,0.109,0.061,0.030,0.412,0.037,0.665,0.021,0.038,0.673,0.011,0.172,0.175,0.028,0.015,0.175,0.411,0.610,0.097,0.353,0.002
Way Kanan,0.000,0.079,1.776,0.191,1.150,-,3.310,0.048,0.104,0.403,0.042,0.106,0.103,0.123,0.106,0.044,0.268,0.033,0.770,0.042,0.091,0.461,0.006,0.230,0.086,0.120,0.020,0.280,0.097,1.053,0.122,0.574,0.004
Tulangbawang,0.000,0.093,1.859,0.133,0.692,-,2.973,0.073,0.158,0.367,0.057,0.125,0.044,0.196,0.088,0.030,0.245,0.012,0.460,0.067,0.082,0.625,0.011,0.270,0.091,0.100,0.185,0.093,0.163,0.768,0.120,0.859,0.002
Pesawaran,0.000,0.198,1.448,0.340,1.328,-,2.634,0.117,0.198,0.335,0.050,0.124,0.048,0.118,0.161,0.019,0.357,0.097,0.797,0.071,0.127,0.619,0.047,0.271,0.201,0.071,0.098,0.166,0.168,0.810,0.131,0.531,0.000
Pringsewu,0.000,0.231,1.133,0.219,1.346,-,2.415,0.086,0.181,0.464,0.072,0.453,0.030,0.119,0.289,0.036,0.264,0.040,0.798,0.074,0.234,0.633,0.028,0.262,0.218,0.079,0.281,0.170,0.157,0.792,0.164,0.528,0.001
Mesuji,0.000,0.043,1.457,0.122,0.643,-,2.421,0.048,0.128,0.305,0.030,0.208,0.046,0.100,0.189,0.050,0.184,0.040,0.309,0.039,0.165,0.432,0.011,0.145,0.131,0.039,0.248,0.132,0.178,0.650,0.141,0.846,0.001
Tulang Bawang Barat,0.000,0.048,1.358,0.186,0.690,-,2.670,0.061,0.129,0.777,0.037,0.083,0.076,0.159,0.111,0.017,0.253,0.011,0.318,0.011,0.027,0.622,0.006,0.171,0.076,0.089,0.065,0.187,0.108,1.158,0.117,0.612,0.001
Pesisir Barat,0.000,0.210,1.556,0.236,1.200,-,4.167,0.077,0.117,0.109,0.065,0.070,0.040,0.058,0.062,0.026,0.297,0.058,0.553,0.057,0.071,0.341,0.043,0.251,0.229,0.069,0.087,0.296,0.103,0.673,0.165,0.308,0.001
Kota Bandar Lampung,0.000,0.660,1.531,0.399,1.150,-,2.657,0.113,0.187,0.766,0.156,0.228,0.199,0.145,0.245,0.045,0.443,0.111,0.494,0.120,0.189,0.679,0.112,0.392,0.266,0.208,0.380,0.128,0.090,0.495,0.247,0.484,0.003
Kota Metro,0.000,0.396,1.578,0.400,1.830,-,2.890,0.187,0.193,1.064,0.140,0.541,0.087,0.298,0.375,0.111,0.607,0.044,0.587,0.124,0.421,0.470,0.055,0.379,0.388,0.188,0.169,0.321,0.136,1.063,0.177,0.573,0.001
Bangka,0.000,0.269,1.483,0.469,4.591,-,3.923,0.032,0.102,0.390,0.158,0.215,0.035,0.114,0.318,0.177,0.517,0.044,0.443,0.135,0.275,0.753,0.035,0.087,1.233,0.177,0.322,0.176,0.129,0.420,0.169,0.623,0.009
Belitung,0.000,0.371,1.201,0.402,3.925,-,2.866,0.049,0.145,0.548,0.221,0.038,0.065,0.075,0.097,0.196,0.675,0.041,0.552,0.063,0.190,1.046,0.106,0.119,0.099,0.154,0.526,0.358,0.195,0.531,0.170,0.742,0.000
Bangka Barat,0.000,0.237,0.462,0.317,3.764,-,2.002,0.037,0.057,0.148,0.101,0.221,0.019,0.097,0.300,0.146,0.387,0.066,0.533,0.126,0.201,0.684,0.010,0.028,0.559,0.063,0.250,0.205,0.259,0.495,0.102,0.942,0.008
Bangka Tengah,0.000,0.561,0.861,0.310,4.349,-,2.820,0.035,0.084,0.097,0.139,0.328,0.060,0.114,0.254,0.222,0.646,0.093,0.470,0.148,0.299,0.751,0.052,0.081,0.594,0.132,0.319,0.186,0.169,0.250,0.197,0.712,0.004
Bangka Selatan,0.000,0.153,1.095,0.522,3.828,-,3.701,0.082,0.123,0.255,0.207,0.122,0.117,0.058,0.161,0.180,0.754,0.052,0.618,0.059,0.174,0.800,0.022,0.132,0.213,0.120,0.260,0.308,0.536,0.535,0.107,0.781,0.000
Belitung Timur,0.000,0.102,0.651,0.250,3.710,-,2.066,0.008,0.064,0.304,0.085,0.317,0.019,0.052,0.144,0.198,0.691,0.042,0.500,0.203,0.359,0.773,0.029,0.114,0.048,0.161,0.565,0.177,0.095,0.615,0.185,0.791,0.000
Kota Pangkal Pinang,0.000,0.558,0.733,0.346,3.815,-,2.916,0.085,0.124,0.174,0.271,0.431,0.061,0.133,0.483,0.280,0.690,0.027,0.326,0.256,0.476,0.458,0.169,0.172,0.205,0.140,0.518,0.193,0.092,0.361,0.294,0.320,0.017
Karimun,0.000,0.890,0.944,0.420,3.368,-,1.917,0.035,0.167,0.230,0.168,0.235,0.688,0.069,0.138,0.134,0.370,0.091,0.502,0.159,0.207,0.422,0.069,0.151,0.148,0.169,0.299,0.269,0.189,0.632,0.179,0.477,0.017
Bintan,0.000,0.557,0.760,0.262,1.981,-,1.530,0.063,0.228,0.541,0.148,0.109,0.330,0.103,0.047,0.145,0.314,0.049,0.496,0.063,0.123,0.520,0.039,0.106,0.108,0.137,0.233,0.066,0.122,0.610,0.238,0.622,0.003
Natuna,0.000,0.363,1.325,0.518,3.908,-,1.962,0.031,0.178,0.375,0.157,0.066,0.123,0.050,0.184,0.096,0.417,0.048,0.841,0.065,0.251,0.416,0.034,0.056,0.083,0.108,0.274,0.069,0.081,0.480,0.149,0.577,0.001
Lingga,0.000,0.392,0.638,0.786,5.248,-,1.583,0.020,0.150,0.420,0.143,0.135,0.496,0.143,0.157,0.071,0.278,0.027,0.546,0.181,0.155,0.528,0.054,0.047,0.078,0.045,0.190,0.194,0.224,0.791,0.156,0.754,0.000
Kepulauan Anambas,0.000,0.388,0.391,0.465,3.446,-,1.774,0.033,0.245,0.274,0.163,0.077,0.409,0.058,0.151,0.056,0.493,0.060,0.336,0.056,0.149,0.328,0.050,0.011,0.124,0.074,0.336,0.114,0.196,0.742,0.080,0.448,0.006
Kota Batam,0.000,0.637,1.103,0.558,2.584,-,3.116,0.103,0.159,0.368,0.210,0.963,0.427,0.118,0.306,0.125,0.483,0.055,0.351,0.394,0.725,0.601,0.142,0.147,0.390,0.441,0.584,0.403,0.175,0.868,0.279,0.416,0.014
Kota Tanjung Pinang,0.000,0.870,0.908,0.263,2.281,-,1.851,0.057,0.243,1.241,0.304,0.267,0.619,0.223,0.213,0.130,0.534,0.053,0.585,0.338,0.544,0.768,0.152,0.125,0.204,0.548,0.413,0.228,0.059,1.292,0.256,0.565,0.001
Kep. Seribu,0.000,0.671,0.924,0.400,0.646,-,2.303,0.301,0.209,0.325,0.390,0.300,0.161,0.052,0.198,0.074,0.550,0.205,0.238,0.170,0.093,0.625,0.300,0.334,0.237,0.143,0.423,0.231,0.026,0.388,0.224,0.504,0.000
Kota Jakarta Selatan,0.000,0.810,1.073,0.755,1.237,-,3.147,0.195,0.278,1.187,0.310,0.588,0.210,0.354,0.409,0.125,0.709,0.132,0.664,0.215,0.377,0.468,0.493,0.407,0.511,0.834,0.384,0.391,0.199,1.202,0.275,0.535,0.000
Kota Jakarta Timur,0.000,0.637,0.976,0.481,1.077,-,2.605,0.270,0.318,1.080,0.323,0.342,0.358,0.288,0.298,0.131,0.626,0.137,0.502,0.161,0.318,0.549,0.522,0.473,0.220,0.617,0.437,0.224,0.198,0.905,0.314,0.410,0.001
Kota Jakarta Pusat,0.000,0.860,1.294,0.902,1.571,-,3.106,0.419,0.394,1.753,0.495,0.657,0.567,0.351,0.562,0.176,0.997,0.156,1.086,0.323,0.572,0.779,0.906,0.553,0.301,1.313,0.395,0.400,0.275,1.178,0.360,0.388,0.000
Kota Jakarta Barat,0.000,0.942,1.007,0.566,1.445,-,3.514,0.285,0.356,1.414,0.543,0.635,0.430,0.347,0.497,0.174,0.912,0.208,0.526,0.403,0.463,0.730,0.640,0.554,0.458,1.170,0.402,0.315,0.226,1.137,0.359,0.726,0.001
Kota Jakarta Utara,0.000,0.600,1.105,0.595,1.730,-,3.084,0.300,0.325,1.660,0.377,0.620,0.511,0.334,0.522,0.145,0.752,0.185,0.752,0.363,0.435,0.634,0.602,0.478,0.644,1.457,0.458,0.277,0.253,1.203,0.319,0.939,0.004
Bogor,0.000,0.390,1.059,0.416,0.722,-,3.468,0.128,0.181,0.808,0.126,0.073,0.126,0.101,0.158,0.060,0.802,0.081,0.586,0.072,0.188,0.724,0.501,0.329,0.603,0.208,0.151,0.253,0.330,0.719,0.305,0.501,0.001
Sukabumi,0.000,0.206,1.278,0.448,1.212,-,4.219,0.161,0.091,0.282,0.065,0.096,0.081,0.027,0.108,0.058,0.742,0.073,0.841,0.066,0.156,0.481,0.480,0.204,0.686,0.113,0.075,0.312,0.491,0.841,0.229,0.311,0.004
Cianjur,0.000,0.215,1.317,0.450,0.921,-,4.160,0.154,0.078,0.439,0.058,0.100,0.074,0.028,0.119,0.043,0.663,0.074,0.299,0.056,0.181,0.698,0.494,0.337,0.606,0.186,0.100,0.225,0.630,0.873,0.222,0.185,0.002
Bandung,0.000,0.362,1.244,0.514,1.576,-,4.480,0.231,0.101,0.405,0.093,0.064,0.232,0.080,0.227,0.069,0.903,0.063,0.749,0.105,0.248,0.403,0.546,0.511,0.613,0.207,0.288,0.410,0.620,0.757,0.320,0.161,0.001
Garut,0.000,0.162,1.199,0.436,1.527,-,7.120,0.097,0.058,0.703,0.054,0.032,0.049,0.020,0.216,0.029,0.617,0.050,1.168,0.031,0.120,0.542,0.313,0.401,0.701,0.102,0.108,0.066,0.549,0.992,0.245,0.217,0.000
Tasikmalaya,0.000,0.216,1.219,0.406,1.524,-,5.052,0.182,0.095,0.395,0.048,0.159,0.069,0.044,0.655,0.106,0.632,0.110,0.661,0.072,0.244,0.394,0.286,0.401,0.604,0.095,0.112,0.434,0.430,0.817,0.266,0.165,0.000
Ciamis,0.000,0.230,1.457,0.366,1.965,-,4.407,0.198,0.177,0.533,0.097,0.277,0.139,0.078,1.129,0.094,0.577,0.055,0.611,0.185,0.433,0.462,0.285,0.355,0.796,0.062,0.115,0.295,0.324,0.853,0.247,0.348,0.000
Kuningan,0.000,0.493,1.141,0.494,1.805,-,4.841,0.212,0.188,0.855,0.124,0.138,0.059,0.040,0.553,0.055,0.747,0.095,0.812,0.070,0.301,0.696,0.488,0.358,0.284,0.184,0.106,0.537,0.180,0.871,0.183,0.373,0.000
Cirebon,0.000,0.365,1.212,0.826,1.482,-,6.566,0.265,0.315,2.232,0.152,0.235,0.292,0.164,1.328,0.100,1.004,0.118,1.151,0.410,0.623,0.858,0.563,0.593,0.777,0.373,0.280,0.459,0.197,1.934,0.255,1.873,0.011
Majalengka,0.000,0.320,1.686,0.526,2.274,-,6.846,0.133,0.215,1.124,0.094,0.398,0.136,0.181,0.904,0.082,0.794,0.064,0.589,0.096,0.631,1.028,0.419,0.412,0.901,0.129,0.218,0.617,0.206,0.766,0.207,0.717,0.000
Sumedang,0.000,0.510,1.467,0.465,1.386,-,5.275,0.238,0.158,0.621,0.153,0.242,0.207,0.106,0.804,0.092,0.793,0.054,0.759,0.116,0.382,0.526,0.488,0.557,0.589,0.154,0.176,0.466,0.452,0.911,0.280,0.179,0.000
Indramayu,0.000,0.257,1.628,0.842,2.322,-,6.365,0.221,0.590,1.725,0.188,0.191,0.331,0.087,0.610,0.156,0.727,0.212,1.313,0.747,0.359,1.183,0.314,0.386,0.549,0.334,0.356,0.574,0.452,0.912,0.287,2.194,0.031
Subang,0.000,0.219,1.318,0.297,0.925,-,5.026,0.162,0.203,0.763,0.135,0.199,0.253,0.209,0.490,0.079,0.731,0.117,0.764,0.344,0.476,0.567,0.352,0.392,0.347,0.248,0.197,0.480,0.320,0.903,0.261,0.740,0.001
Purwakarta,0.000,0.270,1.271,0.566,1.098,-,4.617,0.151,0.131,0.754,0.156,0.124,0.110,0.121,0.366,0.147,0.734,0.132,0.842,0.074,0.352,0.586,0.582,0.287,0.429,0.269,0.156,0.455,0.662,0.937,0.328,0.346,0.000
Karawang,0.000,0.349,1.170,0.508,1.721,-,4.464,0.204,0.236,1.131,0.305,0.317,0.290,0.122,0.577,0.106,0.727,0.104,0.627,0.276,0.397,0.644,0.666,0.258,0.509,0.382,0.332,0.442,0.564,0.837,0.237,0.395,0.000
Bekasi,0.000,0.346,0.867,0.389,1.156,-,3.680,0.178,0.159,1.996,0.298,0.356,0.159,0.135,0.318,0.100,0.675,0.155,0.688,0.174,0.377,0.594,0.540,0.368,0.206,0.311,0.496,0.382,0.246,0.994,0.297,0.299,0.000
Bandung Barat,0.000,0.400,1.265,0.597,0.877,-,4.220,0.199,0.072,0.380,0.096,0.070,0.126,0.053,0.182,0.090,0.681,0.050,0.738,0.031,0.193,0.538,0.395,0.498,0.421,0.143,0.150,0.195,0.591,0.792,0.300,0.160,0.000
Pangandaran,0.000,0.256,1.176,0.440,1.441,-,3.723,0.188,0.467,0.204,0.156,0.397,0.179,0.301,0.704,0.150,0.547,0.139,0.879,0.196,0.379,0.571,0.170,0.380,0.727,0.123,0.188,0.359,0.278,0.936,0.240,0.423,0.000
Kota Bogor,0.000,0.524,0.842,0.304,0.818,-,2.479,0.170,0.236,0.787,0.170,0.315,0.147,0.152,0.211,0.075,0.826,0.069,0.376,0.119,0.256,0.409,0.453,0.321,0.250,0.202,0.210,0.236,0.136,0.720,0.260,0.348,0.001
Kota Sukabumi,0.000,0.632,1.025,0.611,1.445,-,3.961,0.247,0.102,0.762,0.133,0.175,0.119,0.073,0.246,0.110,0.892,0.126,0.893,0.147,0.424,0.592,0.893,0.295,0.521,0.335,0.235,0.474,0.451,0.834,0.348,0.295,0.000
Kota Bandung,0.000,0.916,1.113,0.439,1.320,-,3.384,0.267,0.122,1.066,0.285,0.304,0.254,0.164,0.451,0.135,0.861,0.093,0.502,0.134,0.465,0.402,0.689,0.535,0.536,0.323,0.349,0.458,0.403,0.775,0.301,0.203,0.002
Kota Cirebon,0.000,0.441,1.021,0.458,1.563,-,3.451,0.269,0.255,2.360,0.213,0.307,0.366,0.273,0.891,0.146,0.935,0.139,0.454,0.229,0.482,0.968,0.335,0.495,0.647,0.365,0.280,0.165,0.109,1.035,0.246,1.359,0.002
Kota Bekasi,0.000,0.931,0.874,0.699,0.971,-,2.780,0.259,0.288,1.364,0.319,0.361,0.282,0.280,0.328,0.135,0.782,0.110,0.683,0.196,0.389,0.749,0.500,0.425,0.375,0.577,0.410,0.354,0.351,0.911,0.316,0.350,0.001
Kota Depok,0.000,0.764,0.968,0.555,1.230,-,2.617,0.173,0.241,1.285,0.258,0.336,0.181,0.236,0.313,0.107,0.592,0.121,0.479,0.144,0.431,0.481,0.386,0.379,0.306,0.360,0.261,0.234,0.214,0.912,0.328,0.460,0.002
Kota Cimahi,0.000,0.780,0.980,0.593,1.270,-,2.921,0.199,0.118,0.816,0.203,0.218,0.190,0.152,0.375,0.148,0.840,0.062,0.860,0.088,0.363,0.455,0.470,0.505,0.656,0.379,0.376,0.338,0.385,0.671,0.267,0.321,0.003
Kota Tasikmalaya,0.000,0.830,1.591,0.732,2.533,-,5.046,0.420,0.225,0.571,0.275,0.164,0.103,0.151,2.643,0.226,0.914,0.084,1.287,0.228,0.556,0.752,0.849,0.441,1.045,0.291,0.270,0.588,0.383,0.570,0.341,0.395,0.000
Kota Banjar,0.000,0.480,1.776,0.670,2.072,-,4.220,0.354,0.391,0.413,0.204,0.306,0.151,0.271,1.149,0.094,0.786,0.060,0.777,0.130,0.691,0.628,0.476,0.408,0.529,0.054,0.298,0.127,0.326,0.641,0.373,1.110,0.002
