Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Tanjung Jabung Timur,0.000,0.634,1.222,0.344,2.330,-,3.285,0.072,0.219,0.604,0.124,0.541,0.291,0.114,0.182,0.176,0.254,0.047,0.543,0.159,0.394,0.495,0.036,0.033,0.272,0.072,0.256,0.137,0.063,0.468,0.200,0.303,0.000
Tanjung Jabung Barat,0.000,0.336,0.898,0.386,2.195,-,2.670,0.033,0.139,0.750,0.089,0.080,0.105,0.136,0.164,0.100,0.245,0.054,0.865,0.059,0.131,0.688,0.102,0.050,0.247,0.073,0.243,0.254,0.080,0.647,0.204,0.332,0.010
Tebo,0.000,0.240,1.147,0.274,1.360,-,2.539,0.046,0.265,0.369,0.104,0.132,0.279,0.077,0.064,0.331,0.433,0.080,0.459,0.048,0.111,0.438,0.009,0.112,0.120,0.061,0.080,0.466,0.188,0.426,0.130,0.193,0.000
Bungo,0.000,0.196,1.353,0.200,0.921,-,3.381,0.073,0.220,0.283,0.121,0.186,0.295,0.090,0.068,0.306,0.400,0.057,0.912,0.057,0.240,0.763,0.009,0.127,0.101,0.048,0.186,0.416,0.101,0.282,0.171,0.419,0.002
Kota Jambi,0.000,0.722,1.044,0.540,2.204,-,3.039,0.072,0.185,0.854,0.147,0.174,0.352,0.130,0.146,0.210,0.406,0.034,1.066,0.141,0.248,0.671,0.071,0.136,0.437,0.199,0.368,0.166,0.203,0.345,0.229,0.374,0.002
Kota Sungai Penuh,0.000,0.354,1.159,0.414,0.987,-,3.081,0.117,0.138,0.253,0.244,0.122,0.940,0.084,0.039,0.243,0.236,0.049,0.738,0.058,0.155,0.535,0.004,0.126,0.054,0.042,0.327,0.080,0.138,0.443,0.103,0.046,-
Ogan Komering Ulu,0.000,0.288,1.002,0.307,1.425,-,2.733,0.070,0.167,0.614,0.076,0.060,0.055,0.116,0.123,0.085,0.535,0.022,0.543,0.027,0.104,0.646,0.020,0.162,0.193,0.206,0.117,0.343,0.148,0.997,0.210,0.083,0.000
Ogan Komering Ilir,0.000,0.171,1.285,0.242,1.220,-,2.942,0.046,0.189,0.694,0.077,0.164,0.071,0.127,0.073,0.098,0.365,0.064,0.824,0.018,0.151,0.908,0.022,0.138,0.320,0.214,0.135,0.244,0.184,0.653,0.224,0.611,0.001
Muara Enim,0.000,0.150,1.523,0.208,0.894,-,3.049,0.048,0.185,0.396,0.080,0.134,0.079,0.046,0.115,0.064,0.412,0.033,0.600,0.060,0.107,0.720,0.015,0.090,0.497,0.091,0.072,0.243,0.150,0.429,0.152,0.370,-
Lahat,0.000,0.229,1.393,0.454,0.706,-,3.447,0.054,0.167,0.430,0.066,0.068,0.096,0.060,0.056,0.063,0.538,0.113,0.736,0.055,0.095,0.594,0.034,0.186,0.279,0.043,0.072,0.098,0.122,0.527,0.165,0.138,0.003
Musi Rawas,0.000,0.102,1.171,0.108,0.904,-,2.591,0.072,0.195,0.122,0.067,0.402,0.079,0.166,0.260,0.061,0.380,0.085,0.376,0.125,0.307,0.340,0.008,0.191,0.140,0.111,0.035,0.175,0.244,0.788,0.160,0.338,0.001
Musi Banyuasin,0.000,0.218,1.235,0.204,1.113,-,2.783,0.055,0.150,0.162,0.067,0.065,0.047,0.075,0.070,0.105,0.329,0.144,0.576,0.040,0.077,0.309,0.037,0.090,0.243,0.074,0.157,0.196,0.171,0.384,0.226,0.152,0.001
Banyu Asin,0.000,0.297,2.059,0.270,1.307,-,3.995,0.068,0.303,0.406,0.125,0.376,0.228,0.089,0.182,0.209,0.568,0.103,0.628,0.125,0.281,0.767,0.037,0.131,0.494,0.363,0.276,0.185,0.205,0.618,0.232,0.449,0.001
Ogan Komering Ulu Selatan,0.000,0.169,1.220,0.180,0.575,-,2.663,0.047,0.159,0.216,0.032,0.021,0.073,0.058,0.028,0.039,0.258,0.070,0.179,0.025,0.027,0.393,0.017,0.136,0.060,0.060,0.022,0.080,0.077,1.119,0.199,0.078,-
Ogan Komering Ulu Timur,0.000,0.148,1.688,0.296,1.187,-,2.764,0.055,0.197,0.172,0.203,0.931,0.154,0.343,0.676,0.060,0.354,0.134,0.701,0.333,0.601,0.756,0.011,0.207,0.136,0.127,0.029,0.137,0.215,1.435,0.230,0.420,0.005
Ogan Ilir,0.000,0.130,1.585,0.124,1.190,-,3.141,0.038,0.221,0.239,0.068,0.336,0.034,0.052,0.157,0.098,0.383,0.066,0.508,0.098,0.356,0.725,0.010,0.120,0.432,0.059,0.150,0.301,0.197,0.311,0.256,0.580,0.000
Empat Lawang,0.000,0.128,1.192,0.205,0.859,-,2.775,0.055,0.092,0.670,0.013,0.049,0.096,0.025,0.027,0.046,0.474,0.060,0.775,0.013,0.026,0.355,0.008,0.189,0.341,0.156,0.025,0.172,0.107,0.480,0.104,0.222,-
Penukal Abab Lematang Ilir,0.000,0.101,1.286,0.256,0.654,-,2.097,0.034,0.094,0.243,0.069,0.039,0.156,0.040,0.080,0.064,0.310,0.075,0.461,0.050,0.077,0.568,0.021,0.152,0.191,0.082,0.126,0.325,0.210,0.388,0.143,0.455,0.001
Musi Rawas Utara,0.000,0.162,1.514,0.168,0.826,-,3.281,0.098,0.259,0.068,0.100,0.509,0.102,0.142,0.212,0.122,0.372,0.101,0.430,0.234,0.371,0.611,0.011,0.106,0.184,0.174,0.037,0.280,0.186,0.645,0.170,0.406,0.003
Kota Palembang,0.000,0.633,1.252,0.413,2.406,-,3.696,0.102,0.165,0.632,0.236,0.423,0.282,0.102,0.222,0.125,0.801,0.118,0.541,0.229,0.278,0.667,0.159,0.180,0.303,0.299,0.212,0.160,0.194,0.432,0.257,0.612,0.002
Kota Prabumulih,0.000,0.241,0.832,0.245,1.156,-,2.430,0.028,0.094,0.856,0.084,0.102,0.124,0.043,0.112,0.089,0.348,0.023,0.463,0.079,0.123,0.431,0.037,0.111,0.492,0.076,0.164,0.053,0.046,0.392,0.149,0.190,-
Kota Pagar Alam,0.000,0.149,0.729,0.355,0.393,-,3.071,0.133,0.093,0.112,0.076,0.775,0.230,0.140,0.428,0.073,0.690,0.110,0.881,0.267,0.517,0.545,0.036,0.166,0.352,0.173,0.004,0.153,0.127,0.676,0.171,0.167,-
Kota Lubuklinggau,0.000,0.355,1.110,0.262,1.474,-,2.952,0.068,0.227,0.683,0.098,0.673,0.288,0.416,0.344,0.143,0.702,0.050,0.331,0.192,0.660,0.774,0.041,0.322,0.143,0.280,0.109,0.122,0.101,0.690,0.285,0.310,-
Bengkulu Selatan,0.000,0.144,0.721,0.241,0.703,-,2.515,0.037,0.084,0.161,0.053,0.325,0.194,0.076,0.133,0.131,0.230,0.017,1.077,0.081,0.296,0.448,0.012,0.185,0.053,0.130,0.019,0.277,0.224,0.412,0.106,0.046,-
Rejang Lebong,0.000,0.164,1.257,0.248,1.172,-,3.162,0.035,0.037,0.642,0.102,0.149,0.260,0.096,0.158,0.174,0.465,0.057,0.565,0.067,0.311,0.165,0.012,0.373,0.224,0.052,0.007,0.065,0.209,0.655,0.156,0.105,0.001
Bengkulu Utara,0.000,0.206,0.849,0.344,1.014,-,3.040,0.065,0.157,0.576,0.061,0.016,0.232,0.068,0.103,0.239,0.451,0.033,0.857,0.030,0.093,0.220,0.008,0.379,0.151,0.054,0.101,0.383,0.173,1.038,0.166,0.186,-
Kaur,0.000,0.281,1.243,0.389,0.878,-,3.892,0.027,0.114,0.470,0.079,0.022,0.157,0.023,0.072,0.180,0.265,0.034,1.363,0.009,0.031,0.357,0.010,0.248,0.119,0.029,0.052,0.251,0.260,0.432,0.239,0.076,0.001
Seluma,0.000,0.162,0.851,0.236,1.272,-,2.852,0.023,0.120,0.403,0.018,0.084,0.166,0.078,0.083,0.123,0.226,0.038,0.662,0.020,0.076,0.184,0.006,0.190,0.032,0.044,0.010,0.175,0.158,0.906,0.117,0.122,0.001
Mukomuko,0.000,0.118,1.065,0.368,1.006,-,2.794,0.064,0.101,0.247,0.066,0.168,0.319,0.109,0.110,0.349,0.330,0.026,0.809,0.063,0.094,0.176,0.005,0.180,0.086,0.085,0.119,0.134,0.268,0.726,0.233,0.127,0.000
Lebong,0.000,0.106,0.689,0.258,1.171,-,3.285,0.050,0.082,0.474,0.081,0.197,0.382,0.096,0.185,0.102,0.383,0.097,0.672,0.100,0.180,0.124,0.005,0.191,0.140,0.036,0.046,0.184,0.248,0.923,0.149,0.145,0.000
Kepahiang,0.000,0.103,0.943,0.135,0.644,-,1.973,0.022,0.047,0.401,0.027,0.121,0.099,0.041,0.086,0.243,0.358,0.032,0.677,0.059,0.150,0.147,0.001,0.251,0.221,0.044,0.011,0.110,0.095,0.678,0.110,0.047,0.001
Bengkulu Tengah,0.000,0.070,0.719,0.230,0.919,-,2.803,0.029,0.074,0.487,0.034,0.252,0.144,0.103,0.136,0.177,0.307,0.040,0.589,0.099,0.242,0.212,0.004,0.213,0.467,0.166,0.043,0.423,0.128,0.794,0.161,0.179,-
Kota Bengkulu,0.000,0.410,0.792,0.266,1.259,-,2.719,0.053,0.084,0.756,0.114,0.090,0.206,0.070,0.168,0.145,0.388,0.011,0.287,0.100,0.231,0.197,0.026,0.226,0.487,0.136,0.354,0.223,0.091,0.363,0.236,0.306,0.000
Lampung Barat,0.000,0.153,1.145,0.142,0.812,-,2.327,0.073,0.102,0.306,0.040,0.033,0.050,0.073,0.034,0.023,0.268,0.028,0.324,0.035,0.042,0.243,0.021,0.258,0.101,0.023,0.005,0.098,0.140,0.943,0.125,0.097,0.004
Tanggamus,0.000,0.139,1.554,0.196,1.019,-,2.550,0.077,0.157,0.152,0.051,0.222,0.052,0.059,0.204,0.016,0.362,0.079,0.481,0.120,0.143,0.343,0.017,0.159,0.090,0.035,0.034,0.082,0.163,0.932,0.169,0.240,-
Lampung Selatan,0.000,0.150,1.499,0.386,0.966,-,2.411,0.071,0.201,0.366,0.057,0.163,0.116,0.092,0.183,0.061,0.328,0.052,0.709,0.062,0.130,0.453,0.030,0.342,0.058,0.064,0.217,0.105,0.142,0.645,0.182,0.474,0.000
Lampung Timur,0.000,0.155,1.423,0.171,0.920,-,2.577,0.064,0.167,0.281,0.067,0.124,0.045,0.161,0.168,0.037,0.359,0.059,0.393,0.047,0.110,0.352,0.014,0.288,0.053,0.044,0.052,0.101,0.152,0.857,0.175,0.386,-
Lampung Tengah,0.000,0.131,1.574,0.250,1.217,-,2.477,0.070,0.174,0.568,0.058,0.087,0.059,0.156,0.087,0.024,0.352,0.047,0.731,0.022,0.142,0.592,0.008,0.264,0.079,0.039,0.031,0.125,0.123,0.946,0.162,0.354,-
Lampung Utara,0.000,0.096,0.638,0.143,0.539,-,1.738,0.041,0.140,0.561,0.019,0.006,0.037,0.072,0.065,0.024,0.368,0.020,0.594,0.008,0.026,0.452,0.022,0.112,0.041,0.016,0.028,0.062,0.183,0.472,0.142,0.228,0.000
Way Kanan,0.000,0.064,1.371,0.165,1.013,-,2.304,0.044,0.146,0.465,0.035,0.208,0.035,0.128,0.191,0.037,0.318,0.031,0.686,0.056,0.164,0.508,0.005,0.204,0.129,0.097,0.023,0.330,0.247,1.029,0.150,0.335,0.000
Tulangbawang,0.000,0.070,1.599,0.159,0.838,-,2.151,0.058,0.157,0.492,0.033,0.143,0.031,0.111,0.102,0.035,0.267,0.021,0.490,0.060,0.070,0.586,0.018,0.201,0.107,0.125,0.203,0.152,0.148,0.767,0.123,0.464,0.001
Pesawaran,0.000,0.172,1.572,0.269,0.797,-,2.282,0.068,0.167,0.166,0.061,0.203,0.039,0.114,0.206,0.039,0.342,0.064,0.432,0.093,0.160,0.491,0.034,0.314,0.321,0.037,0.121,0.142,0.248,0.675,0.135,0.288,-
Pringsewu,0.000,0.418,1.252,0.210,1.493,-,2.209,0.059,0.160,0.421,0.043,0.267,0.038,0.139,0.277,0.051,0.297,0.028,0.973,0.074,0.183,0.837,0.028,0.237,0.229,0.051,0.255,0.091,0.234,0.652,0.155,0.401,-
Mesuji,0.000,0.053,1.284,0.165,0.776,-,1.925,0.045,0.122,0.148,0.029,0.330,0.046,0.100,0.202,0.025,0.202,0.049,0.363,0.116,0.185,0.352,0.006,0.184,0.100,0.064,0.201,0.081,0.110,0.581,0.187,0.642,0.001
Tulang Bawang Barat,0.000,0.073,1.178,0.143,0.781,-,2.035,0.053,0.092,0.516,0.041,0.032,0.065,0.131,0.079,0.027,0.294,0.011,0.294,0.016,0.043,0.291,0.002,0.120,0.053,0.020,0.036,0.073,0.110,0.694,0.123,0.399,0.000
Pesisir Barat,0.000,0.134,1.257,0.224,1.292,-,3.178,0.049,0.115,0.123,0.048,0.073,0.028,0.065,0.080,0.020,0.363,0.052,0.570,0.034,0.054,0.242,0.033,0.235,0.124,0.063,0.057,0.188,0.104,0.576,0.170,0.152,0.001
Kota Bandar Lampung,0.000,0.937,1.335,0.382,1.355,-,2.541,0.091,0.187,0.903,0.166,0.199,0.105,0.144,0.275,0.109,0.499,0.056,0.643,0.124,0.199,0.702,0.103,0.271,0.475,0.279,0.368,0.098,0.138,0.571,0.263,0.392,0.008
Kota Metro,0.000,0.341,1.465,0.471,1.910,-,2.463,0.157,0.229,0.863,0.121,0.362,0.066,0.264,0.378,0.102,0.609,0.039,0.770,0.133,0.335,0.702,0.049,0.361,0.349,0.224,0.231,0.197,0.112,0.962,0.225,0.456,-
Bangka,0.000,0.257,0.876,0.398,4.370,-,2.331,0.023,0.053,0.078,0.147,0.510,0.019,0.112,0.302,0.207,0.523,0.013,0.529,0.198,0.440,0.531,0.032,0.079,0.557,0.129,0.294,0.130,0.137,0.364,0.190,0.302,0.007
Belitung,0.000,0.225,1.030,0.485,3.991,-,2.557,0.032,0.116,0.293,0.142,0.100,0.053,0.071,0.139,0.152,0.550,0.047,0.466,0.090,0.225,0.865,0.066,0.067,0.095,0.057,0.532,0.301,0.272,0.486,0.111,0.600,0.001
Bangka Barat,0.000,0.336,0.645,0.410,4.243,-,2.244,0.032,0.040,0.154,0.060,0.198,0.020,0.055,0.312,0.101,0.477,0.047,0.710,0.144,0.177,0.881,0.032,0.020,0.462,0.085,0.219,0.445,0.234,0.670,0.156,0.595,0.001
Bangka Tengah,0.000,0.239,1.071,0.442,4.046,-,2.047,0.036,0.066,0.083,0.117,0.304,0.065,0.110,0.234,0.244,0.706,0.041,0.692,0.118,0.358,0.649,0.039,0.059,0.468,0.054,0.368,0.185,0.113,0.415,0.168,0.418,-
Bangka Selatan,0.000,0.079,0.950,0.406,2.976,-,3.713,0.050,0.154,0.131,0.126,0.222,0.069,0.091,0.171,0.190,0.682,0.043,0.438,0.055,0.142,0.924,0.018,0.102,0.141,0.090,0.329,0.272,0.581,0.319,0.154,0.682,-
Belitung Timur,0.000,0.146,0.680,0.226,3.747,-,1.824,0.012,0.065,0.197,0.140,0.342,0.022,0.038,0.233,0.145,0.603,0.051,0.391,0.251,0.408,0.836,0.062,0.074,0.116,0.105,0.541,0.217,0.181,0.525,0.112,0.392,0.001
Kota Pangkal Pinang,0.000,0.589,0.648,0.351,3.758,-,1.922,0.070,0.105,0.236,0.162,0.583,0.066,0.115,0.512,0.246,0.566,0.019,0.513,0.233,0.510,0.351,0.187,0.116,0.202,0.133,0.537,0.159,0.165,0.323,0.248,0.129,-
Karimun,0.000,1.014,0.966,0.462,3.737,-,1.510,0.038,0.210,0.151,0.138,0.241,0.543,0.058,0.123,0.150,0.294,0.068,0.529,0.151,0.194,0.439,0.092,0.164,0.105,0.083,0.337,0.284,0.123,0.671,0.140,0.173,0.002
Bintan,0.000,0.325,0.622,0.313,2.075,-,1.465,0.066,0.157,0.417,0.136,0.025,0.236,0.073,0.038,0.093,0.280,0.043,0.386,0.055,0.143,0.618,0.061,0.098,0.141,0.079,0.256,0.061,0.224,0.666,0.189,0.232,0.001
Natuna,0.000,0.479,1.088,0.413,5.764,-,1.220,0.016,0.185,0.328,0.104,0.048,0.090,0.054,0.162,0.073,0.344,0.013,0.532,0.069,0.089,0.126,0.060,0.004,0.086,0.037,0.280,0.039,0.039,0.346,0.155,0.365,0.000
Lingga,0.000,0.507,0.501,0.989,5.203,-,1.360,0.026,0.179,0.398,0.191,0.028,0.551,0.136,0.099,0.079,0.202,0.026,0.548,0.121,0.153,0.346,0.087,0.025,0.199,0.059,0.209,0.086,0.248,0.633,0.132,0.299,0.010
Kepulauan Anambas,0.000,0.161,0.578,0.402,3.370,-,1.560,0.012,0.156,0.202,0.226,0.039,0.254,0.070,0.101,0.089,0.349,0.048,0.292,0.050,0.101,0.250,0.126,0.010,0.183,0.031,0.345,0.045,0.078,0.629,0.072,0.304,0.006
Kota Batam,0.000,0.801,0.833,0.421,2.173,-,2.155,0.072,0.152,0.342,0.175,0.884,0.324,0.107,0.303,0.100,0.442,0.031,0.300,0.407,0.816,0.389,0.130,0.077,0.250,0.309,0.633,0.249,0.239,0.781,0.389,0.189,0.007
Kota Tanjung Pinang,0.000,0.851,1.119,0.546,2.134,-,1.714,0.054,0.160,0.866,0.212,0.250,0.432,0.214,0.226,0.132,0.395,0.030,0.466,0.320,0.434,0.274,0.172,0.067,0.130,0.323,0.493,0.181,0.133,0.821,0.224,0.221,0.000
Kep. Seribu,0.000,0.408,0.962,0.239,0.495,-,1.982,0.336,0.208,0.409,0.281,0.179,0.085,0.061,0.160,0.054,0.562,0.072,0.210,0.127,0.115,0.337,0.186,0.206,0.292,0.867,0.368,0.051,0.063,0.294,0.220,0.496,-
Kota Jakarta Selatan,0.000,0.717,0.754,0.651,1.063,-,2.201,0.140,0.266,1.124,0.250,0.378,0.226,0.324,0.305,0.108,0.606,0.055,0.630,0.154,0.316,0.457,0.471,0.334,0.435,0.502,0.380,0.290,0.262,0.780,0.242,0.397,0.000
Kota Jakarta Timur,0.000,0.863,0.885,0.475,0.981,-,2.139,0.248,0.302,0.905,0.291,0.477,0.316,0.276,0.251,0.111,0.581,0.113,0.486,0.212,0.374,0.492,0.438,0.316,0.256,0.466,0.477,0.196,0.293,0.830,0.325,0.354,0.000
Kota Jakarta Pusat,0.000,0.880,1.228,0.595,1.230,-,2.565,0.354,0.335,1.456,0.401,0.538,0.573,0.314,0.489,0.164,0.860,0.136,0.684,0.289,0.434,0.429,0.867,0.461,0.278,1.100,0.401,0.272,0.419,1.288,0.273,0.446,0.004
Kota Jakarta Barat,0.000,0.928,0.995,0.498,1.296,-,3.023,0.253,0.308,1.002,0.385,0.379,0.315,0.268,0.396,0.166,0.714,0.102,0.528,0.286,0.432,0.649,0.567,0.465,0.390,0.792,0.440,0.271,0.261,0.920,0.319,0.558,0.001
Kota Jakarta Utara,0.000,0.747,1.252,0.616,1.732,-,2.459,0.361,0.347,1.212,0.355,0.666,0.459,0.310,0.469,0.146,0.701,0.154,0.807,0.389,0.447,0.568,0.581,0.458,0.471,1.123,0.514,0.266,0.271,1.209,0.311,0.551,0.000
Bogor,0.000,0.306,0.997,0.460,0.781,-,3.004,0.130,0.189,0.654,0.125,0.183,0.126,0.089,0.171,0.066,0.776,0.077,0.605,0.076,0.230,0.572,0.440,0.277,0.612,0.171,0.176,0.215,0.229,0.815,0.310,0.451,0.000
Sukabumi,0.000,0.199,1.310,0.489,0.920,-,3.400,0.077,0.082,0.151,0.086,0.411,0.044,0.031,0.153,0.048,0.704,0.121,0.945,0.110,0.181,0.376,0.302,0.125,0.541,0.158,0.127,0.188,0.439,0.827,0.246,0.187,0.000
Cianjur,0.000,0.210,1.217,0.432,1.287,-,3.707,0.110,0.081,0.354,0.050,0.137,0.067,0.020,0.190,0.024,0.632,0.132,0.524,0.095,0.229,0.763,0.367,0.275,0.758,0.132,0.100,0.237,0.568,0.791,0.217,0.196,0.000
Bandung,0.000,0.421,1.308,0.602,1.372,-,4.271,0.168,0.097,0.339,0.100,0.123,0.194,0.091,0.304,0.075,0.814,0.054,0.835,0.100,0.335,0.367,0.467,0.460,0.564,0.150,0.303,0.354,0.511,0.797,0.337,0.197,0.001
Garut,0.000,0.143,0.814,0.347,0.914,-,3.772,0.096,0.049,0.331,0.045,0.094,0.027,0.011,0.166,0.019,0.592,0.100,1.098,0.024,0.088,0.311,0.170,0.405,0.552,0.054,0.067,0.092,0.311,0.718,0.220,0.195,0.002
Tasikmalaya,0.000,0.241,1.086,0.344,1.180,-,3.667,0.137,0.075,0.300,0.050,0.303,0.063,0.069,0.636,0.091,0.592,0.171,0.494,0.104,0.372,0.335,0.210,0.338,0.478,0.097,0.075,0.148,0.460,0.990,0.183,0.239,0.001
Ciamis,0.000,0.262,1.045,0.352,1.288,-,2.897,0.156,0.153,0.374,0.061,0.338,0.082,0.073,0.963,0.093,0.533,0.049,0.635,0.176,0.466,0.426,0.160,0.265,0.623,0.056,0.130,0.190,0.193,0.692,0.243,0.232,-
Kuningan,0.000,0.497,1.685,0.806,2.329,-,6.343,0.168,0.207,0.703,0.167,0.223,0.112,0.065,0.526,0.060,0.716,0.062,1.368,0.086,0.258,0.953,0.516,0.333,0.796,0.143,0.157,0.697,0.254,0.854,0.322,0.338,-
Cirebon,0.000,0.295,1.254,0.726,1.400,-,7.544,0.214,0.386,1.621,0.141,0.356,0.254,0.159,1.338,0.119,1.017,0.093,1.111,0.365,0.590,1.008,0.472,0.522,0.984,0.209,0.308,0.245,0.158,1.575,0.234,1.903,0.001
Majalengka,0.000,0.379,1.225,0.655,1.736,-,6.417,0.174,0.247,0.686,0.096,0.394,0.097,0.131,1.883,0.109,0.770,0.157,0.810,0.137,0.659,0.689,0.459,0.500,0.654,0.160,0.226,0.674,0.248,0.743,0.276,0.656,-
Sumedang,0.000,0.274,1.395,0.395,1.139,-,4.556,0.153,0.127,0.504,0.089,0.190,0.116,0.063,0.727,0.075,0.648,0.067,0.703,0.091,0.412,0.455,0.259,0.508,0.593,0.149,0.159,0.285,0.225,0.846,0.269,0.138,0.000
Indramayu,0.000,0.435,1.551,0.870,1.984,-,5.202,0.237,0.518,1.241,0.213,0.231,0.304,0.071,0.572,0.147,0.704,0.144,1.216,0.624,0.413,1.231,0.425,0.368,0.570,0.327,0.407,0.446,0.617,0.777,0.355,1.573,0.010
Subang,0.000,0.391,1.159,0.378,0.991,-,4.431,0.202,0.200,0.397,0.148,0.342,0.336,0.189,0.611,0.101,0.739,0.107,0.665,0.384,0.594,0.394,0.425,0.391,0.355,0.224,0.172,0.423,0.211,0.841,0.244,0.439,0.000
Purwakarta,0.000,0.408,1.227,0.542,1.162,-,4.527,0.128,0.144,0.870,0.157,0.208,0.078,0.135,0.332,0.189,0.931,0.168,0.658,0.066,0.362,0.615,0.606,0.292,0.543,0.266,0.164,0.316,0.343,1.026,0.359,0.364,0.001
Karawang,0.000,0.534,1.248,0.365,1.655,-,3.934,0.183,0.228,0.776,0.230,0.246,0.295,0.089,0.497,0.104,0.714,0.174,0.472,0.345,0.408,0.685,0.719,0.315,0.442,0.264,0.356,0.256,0.255,0.689,0.322,0.325,-
Bekasi,0.000,0.408,0.946,0.400,1.057,-,3.557,0.193,0.196,1.163,0.279,0.140,0.185,0.128,0.258,0.084,0.676,0.173,0.705,0.119,0.251,0.477,0.515,0.445,0.179,0.286,0.533,0.380,0.278,1.085,0.298,0.280,-
Bandung Barat,0.000,0.191,1.190,0.451,0.714,-,3.071,0.113,0.058,0.354,0.063,0.066,0.105,0.043,0.219,0.052,0.612,0.030,0.621,0.028,0.218,0.374,0.367,0.338,0.471,0.082,0.126,0.180,0.370,0.692,0.285,0.135,-
Pangandaran,0.000,0.266,1.270,0.378,1.840,-,3.313,0.181,0.336,0.157,0.147,0.227,0.183,0.289,0.511,0.215,0.483,0.037,0.591,0.127,0.323,0.566,0.180,0.295,0.462,0.066,0.220,0.268,0.243,0.744,0.278,0.360,-
Kota Bogor,0.000,0.801,0.920,0.369,0.992,-,2.992,0.107,0.195,0.627,0.137,0.206,0.167,0.155,0.180,0.098,0.777,0.062,0.448,0.086,0.268,0.450,0.388,0.292,0.264,0.211,0.293,0.215,0.183,0.644,0.244,0.335,0.001
Kota Sukabumi,0.000,0.621,0.942,0.840,1.135,-,3.521,0.227,0.098,0.337,0.075,0.352,0.087,0.085,0.246,0.116,0.807,0.064,0.934,0.205,0.408,0.578,0.675,0.211,0.615,0.181,0.247,0.473,0.426,0.657,0.317,0.293,0.002
Kota Bandung,0.000,0.945,1.048,0.538,1.207,-,3.511,0.215,0.109,0.686,0.237,0.346,0.225,0.172,0.472,0.146,0.792,0.069,0.561,0.160,0.437,0.474,0.651,0.421,0.518,0.219,0.409,0.387,0.390,0.729,0.320,0.167,0.000
Kota Cirebon,0.000,0.703,0.981,0.556,1.441,-,3.054,0.354,0.317,1.267,0.195,0.319,0.362,0.307,0.842,0.194,0.875,0.102,0.449,0.193,0.568,0.870,0.388,0.530,0.398,0.296,0.291,0.180,0.111,0.710,0.309,1.159,0.003
Kota Bekasi,0.000,0.959,0.795,0.756,1.194,-,2.620,0.210,0.240,1.095,0.301,0.375,0.245,0.239,0.344,0.130,0.614,0.100,0.561,0.160,0.360,0.632,0.473,0.350,0.290,0.377,0.520,0.220,0.286,0.778,0.295,0.257,-
Kota Depok,0.000,0.873,0.892,0.570,0.999,-,2.328,0.120,0.214,0.891,0.235,0.280,0.153,0.197,0.271,0.115,0.609,0.080,0.684,0.157,0.377,0.402,0.409,0.311,0.307,0.362,0.311,0.217,0.229,0.667,0.348,0.538,0.000
Kota Cimahi,0.000,0.760,0.820,0.474,1.186,-,2.961,0.194,0.134,0.451,0.211,0.486,0.195,0.162,0.461,0.145,0.701,0.083,0.562,0.110,0.422,0.424,0.500,0.406,0.601,0.298,0.387,0.557,0.320,0.612,0.271,0.199,0.001
Kota Tasikmalaya,0.000,0.621,1.390,0.518,1.447,-,4.394,0.493,0.231,0.271,0.281,0.255,0.076,0.098,2.390,0.160,0.943,0.105,0.874,0.144,0.545,0.585,0.885,0.443,0.794,0.072,0.251,0.327,0.320,0.627,0.331,0.461,-
Kota Banjar,0.000,0.700,1.682,0.640,1.641,-,3.559,0.232,0.302,0.264,0.187,0.230,0.185,0.242,1.020,0.124,0.795,0.042,0.831,0.146,0.469,0.502,0.285,0.315,0.560,0.124,0.278,0.050,0.348,0.549,0.253,0.791,0.000
Cilacap,0.000,0.214,0.893,0.209,0.948,-,2.409,0.077,0.174,0.431,0.057,0.152,0.026,0.128,0.323,0.056,0.371,0.039,0.327,0.063,0.140,0.429,0.081,0.339,0.194,0.063,0.111,0.108,0.083,0.651,0.221,0.413,0.006
Banyumas,0.000,0.260,1.013,0.470,2.540,-,2.981,0.202,0.194,0.920,0.083,0.213,0.044,0.167,0.577,0.105,0.538,0.034,0.480,0.130,0.402,0.494,0.122,0.415,0.314,0.060,0.086,0.178,0.099,1.060,0.233,0.443,0.000
