Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Tanjung Jabung Timur,0.000,0.250,0.969,0.338,2.322,-,3.213,0.054,0.297,0.695,0.127,0.116,0.345,0.129,0.046,0.129,0.218,0.048,1.110,0.038,0.142,0.940,0.015,0.042,0.409,0.064,0.091,0.357,0.193,0.751,0.121,0.479,0.002
Tanjung Jabung Barat,0.000,0.325,0.317,0.340,2.899,-,2.666,0.021,0.069,0.909,0.099,0.043,0.214,0.099,0.060,0.093,0.154,0.045,1.003,0.028,0.073,0.530,0.096,0.072,0.831,0.033,0.139,0.280,0.141,0.478,0.164,0.439,0.008
Tebo,0.000,0.357,1.241,0.359,1.691,-,2.743,0.080,0.226,0.383,0.194,0.054,0.406,0.082,0.041,0.332,0.501,0.085,0.636,0.030,0.099,0.350,0.015,0.154,0.054,0.082,0.031,0.552,0.142,0.564,0.189,0.356,0.006
Bungo,0.000,0.262,1.380,0.234,0.611,-,2.880,0.085,0.222,0.280,0.266,0.135,0.477,0.071,0.043,0.355,0.356,0.122,0.526,0.069,0.115,0.447,0.017,0.183,0.179,0.066,0.101,0.482,0.137,0.237,0.205,0.191,-
Kota Jambi,0.000,0.785,1.084,0.486,1.986,-,3.470,0.113,0.297,0.968,0.281,0.141,0.475,0.146,0.162,0.226,0.513,0.084,0.613,0.119,0.332,0.512,0.099,0.244,0.374,0.202,0.282,0.353,0.151,0.456,0.243,0.310,0.003
Kota Sungai Penuh,0.000,0.554,1.726,0.356,1.145,-,3.817,0.281,0.243,0.644,0.409,0.075,1.737,0.088,0.040,0.453,0.372,0.043,0.745,0.076,0.115,0.639,0.005,0.119,0.054,0.189,0.274,0.328,0.088,0.651,0.148,0.137,0.007
Ogan Komering Ulu,0.000,0.295,1.330,0.446,1.515,-,3.675,0.050,0.239,0.384,0.104,0.063,0.062,0.070,0.115,0.066,0.494,0.061,0.703,0.021,0.046,0.289,0.024,0.193,0.281,0.175,0.113,0.443,0.072,0.763,0.138,0.224,0.000
Ogan Komering Ilir,0.000,0.120,1.016,0.186,1.040,-,3.486,0.056,0.205,0.622,0.150,0.098,0.092,0.157,0.064,0.062,0.407,0.070,0.694,0.055,0.082,0.474,0.019,0.133,0.280,0.146,0.096,0.341,0.160,0.681,0.158,0.857,0.003
Muara Enim,0.000,0.199,1.415,0.243,0.946,-,3.605,0.054,0.159,0.505,0.110,0.071,0.080,0.042,0.062,0.075,0.601,0.167,0.721,0.026,0.118,0.487,0.021,0.152,0.348,0.149,0.048,0.339,0.251,0.404,0.201,0.440,0.001
Lahat,0.000,0.123,1.099,0.253,0.554,-,3.067,0.032,0.136,0.223,0.056,0.057,0.100,0.009,0.071,0.024,0.454,0.102,0.719,0.021,0.042,0.481,0.016,0.168,0.252,0.018,0.060,0.161,0.199,0.453,0.111,0.173,0.000
Musi Rawas,0.000,0.175,1.070,0.154,0.841,-,2.977,0.098,0.194,0.165,0.086,0.280,0.188,0.180,0.174,0.045,0.413,0.124,0.446,0.098,0.192,0.393,0.013,0.220,0.126,0.077,0.026,0.262,0.168,0.725,0.122,0.483,-
Musi Banyuasin,0.000,0.105,1.187,0.248,1.436,-,2.658,0.022,0.183,0.139,0.109,0.041,0.085,0.067,0.074,0.046,0.322,0.048,0.479,0.058,0.055,0.578,0.104,0.096,0.609,0.055,0.096,0.313,0.148,0.404,0.119,0.339,0.004
Banyu Asin,0.000,0.114,1.338,0.216,0.844,-,3.180,0.075,0.252,0.471,0.101,0.069,0.148,0.052,0.083,0.130,0.441,0.104,0.484,0.028,0.094,0.711,0.041,0.095,0.441,0.196,0.142,0.338,0.114,0.421,0.170,0.542,0.005
Ogan Komering Ulu Selatan,0.000,0.395,1.355,0.163,0.477,-,3.725,0.052,0.140,0.108,0.027,0.023,0.095,0.055,0.019,0.054,0.285,0.066,0.294,0.013,0.026,0.226,0.001,0.132,0.079,0.046,0.017,0.191,0.038,1.360,0.189,0.212,0.008
Ogan Komering Ulu Timur,0.000,0.233,1.450,0.170,1.117,-,3.716,0.080,0.323,0.355,0.130,0.444,0.185,0.241,0.359,0.056,0.370,0.052,0.515,0.152,0.216,0.425,0.013,0.353,0.144,0.115,0.019,0.351,0.252,1.137,0.165,0.499,-
Ogan Ilir,0.000,0.195,1.663,0.188,1.400,-,3.449,0.044,0.291,0.156,0.118,0.496,0.031,0.081,0.215,0.045,0.457,0.059,0.659,0.094,0.381,0.596,0.007,0.119,0.428,0.170,0.127,0.415,0.141,0.365,0.164,0.835,-
Empat Lawang,0.000,0.065,1.425,0.297,1.195,-,3.295,0.018,0.120,0.130,0.047,0.317,0.122,0.126,0.233,0.042,0.345,0.057,0.619,0.141,0.212,0.421,0.006,0.228,0.378,0.104,0.042,0.288,0.285,0.377,0.056,0.405,0.001
Penukal Abab Lematang Ilir,0.000,0.138,1.248,0.077,0.714,-,2.179,0.027,0.062,0.252,0.041,0.042,0.192,0.006,0.047,0.035,0.364,0.104,0.302,0.032,0.041,0.729,0.031,0.085,0.236,0.049,0.101,0.419,0.292,0.676,0.121,0.634,0.008
Musi Rawas Utara,0.000,0.104,1.178,0.308,0.594,-,3.620,0.069,0.133,0.053,0.067,0.385,0.156,0.079,0.210,0.081,0.343,0.064,0.589,0.125,0.277,0.549,0.002,0.126,0.259,0.127,0.032,0.506,0.134,0.657,0.123,0.762,0.001
Kota Palembang,0.000,0.840,1.437,0.332,2.755,-,4.214,0.086,0.198,0.705,0.251,0.373,0.374,0.122,0.267,0.142,0.661,0.127,0.534,0.205,0.238,0.643,0.188,0.234,0.396,0.228,0.198,0.201,0.124,0.630,0.234,0.542,0.004
Kota Prabumulih,0.000,0.565,0.973,0.324,2.179,-,2.752,0.037,0.187,0.998,0.093,0.175,0.159,0.085,0.173,0.069,0.429,0.095,0.585,0.126,0.220,0.519,0.033,0.248,0.704,0.191,0.115,0.295,0.120,0.636,0.151,0.307,0.003
Kota Pagar Alam,0.000,0.273,1.373,0.258,0.872,-,4.459,0.130,0.116,0.360,0.096,0.372,0.337,0.047,0.291,0.034,0.674,0.081,1.031,0.117,0.238,0.598,0.036,0.239,0.343,0.138,0.031,0.140,0.131,0.691,0.206,0.085,0.008
Kota Lubuklinggau,0.000,0.589,1.327,0.207,1.649,-,4.414,0.130,0.211,1.024,0.305,0.550,0.491,0.212,0.352,0.122,0.883,0.159,0.334,0.179,0.353,0.639,0.060,0.434,0.018,0.207,0.096,0.240,0.176,1.136,0.358,0.487,0.002
Bengkulu Selatan,0.000,0.107,0.653,0.154,0.858,-,3.653,0.042,0.138,0.409,0.106,0.279,0.330,0.076,0.106,0.167,0.269,0.045,0.961,0.155,0.335,0.261,0.021,0.257,0.102,0.273,0.032,0.420,0.094,0.561,0.119,0.113,0.001
Rejang Lebong,0.000,0.145,0.973,0.264,0.774,-,3.596,0.024,0.034,0.632,0.040,0.029,0.284,0.067,0.124,0.162,0.605,0.034,0.633,0.025,0.089,0.132,0.004,0.403,0.134,0.041,0.016,0.135,0.102,0.538,0.150,0.184,0.001
Bengkulu Utara,0.000,0.210,0.922,0.248,1.220,-,2.790,0.042,0.083,0.483,0.083,0.164,0.295,0.101,0.087,0.177,0.334,0.049,0.825,0.056,0.109,0.138,0.014,0.423,0.232,0.037,0.022,0.260,0.161,0.646,0.132,0.188,0.003
Kaur,0.000,0.109,0.388,0.243,0.624,-,3.538,0.044,0.176,0.326,0.113,0.662,0.221,0.028,0.031,0.229,0.351,0.064,0.665,0.023,0.074,0.228,0.015,0.150,0.078,0.065,0.027,0.363,0.236,0.681,0.128,0.049,0.000
Seluma,0.000,0.103,0.802,0.142,0.954,-,2.968,0.027,0.167,0.300,0.108,0.061,0.242,0.037,0.060,0.141,0.244,0.025,0.613,0.014,0.108,0.149,0.002,0.243,0.078,0.060,0.018,0.403,0.219,1.095,0.183,0.078,0.002
Mukomuko,0.000,0.144,1.047,0.331,1.221,-,2.854,0.116,0.237,0.136,0.222,0.217,0.552,0.094,0.134,0.368,0.330,0.024,0.587,0.075,0.172,0.179,0.014,0.236,0.248,0.049,0.169,0.274,0.266,0.431,0.214,0.218,0.003
Lebong,0.000,0.205,0.980,0.138,1.307,-,3.538,0.070,0.082,0.434,0.105,0.357,0.431,0.113,0.111,0.132,0.350,0.075,0.621,0.061,0.265,0.073,0.013,0.311,0.131,0.007,0.075,0.218,0.234,0.864,0.161,0.132,0.012
Kepahiang,0.000,0.174,0.949,0.205,0.533,-,2.917,0.025,0.045,0.197,0.044,0.108,0.196,0.044,0.079,0.188,0.352,0.085,0.920,0.045,0.170,0.138,0.011,0.350,0.131,0.031,0.016,0.128,0.118,0.666,0.137,0.083,0.001
Bengkulu Tengah,0.000,0.183,1.159,0.403,1.459,-,3.815,0.078,0.115,0.341,0.054,0.401,0.291,0.096,0.206,0.215,0.437,0.062,0.747,0.159,0.269,0.414,0.015,0.271,0.266,0.127,0.054,0.622,0.277,1.224,0.200,0.325,0.010
Kota Bengkulu,0.000,0.628,0.754,0.376,1.019,-,3.385,0.089,0.121,0.667,0.219,0.165,0.324,0.082,0.200,0.194,0.442,0.075,0.616,0.166,0.227,0.243,0.022,0.593,0.371,0.202,0.277,0.247,0.114,0.344,0.242,0.252,0.001
Lampung Barat,0.000,0.166,1.757,0.421,1.122,-,3.640,0.065,0.117,0.170,0.079,0.201,0.058,0.111,0.136,0.046,0.328,0.040,0.693,0.064,0.082,0.314,0.022,0.369,0.320,0.063,0.015,0.156,0.188,0.722,0.080,0.266,-
Tanggamus,0.000,0.169,1.669,0.202,1.008,-,3.310,0.063,0.146,0.084,0.019,0.456,0.022,0.105,0.263,0.025,0.451,0.126,0.773,0.129,0.189,0.436,0.024,0.242,0.230,0.043,0.041,0.176,0.242,0.935,0.147,0.388,0.000
Lampung Selatan,0.000,0.290,1.589,0.337,0.836,-,2.999,0.083,0.203,0.258,0.047,0.346,0.126,0.118,0.203,0.033,0.322,0.073,0.785,0.031,0.143,0.536,0.029,0.478,0.175,0.121,0.178,0.219,0.157,0.717,0.134,0.752,0.001
Lampung Timur,0.000,0.155,1.482,0.174,0.903,-,3.372,0.029,0.171,0.403,0.063,0.256,0.072,0.253,0.173,0.029,0.377,0.055,0.578,0.075,0.152,0.334,0.012,0.395,0.024,0.096,0.042,0.233,0.156,1.095,0.103,0.785,-
Lampung Tengah,0.000,0.188,1.379,0.313,1.255,-,3.812,0.069,0.192,0.589,0.053,0.117,0.099,0.149,0.155,0.028,0.350,0.025,0.705,0.019,0.112,0.272,0.010,0.334,0.222,0.054,0.041,0.151,0.053,0.879,0.094,0.663,-
Lampung Utara,0.000,0.206,1.181,0.179,0.531,-,2.389,0.096,0.128,0.237,0.028,0.036,0.062,0.090,0.043,0.031,0.373,0.031,0.565,0.016,0.028,0.557,0.026,0.155,0.159,0.023,0.045,0.131,0.361,0.315,0.102,0.301,-
Way Kanan,0.000,0.132,1.799,0.210,0.594,-,3.670,0.063,0.141,0.257,0.061,0.057,0.090,0.086,0.090,0.022,0.270,0.062,0.752,0.009,0.063,0.359,0.009,0.209,0.125,0.071,0.016,0.155,0.228,0.922,0.151,0.465,0.007
Tulangbawang,0.000,0.118,1.765,0.259,0.790,-,4.213,0.088,0.186,0.394,0.044,0.211,0.056,0.106,0.206,0.034,0.322,0.076,0.556,0.069,0.090,0.375,0.015,0.391,0.160,0.115,0.150,0.263,0.203,0.891,0.140,0.827,0.000
Pesawaran,0.000,0.084,1.232,0.274,0.864,-,2.825,0.033,0.210,0.502,0.038,0.109,0.046,0.094,0.126,0.018,0.302,0.094,0.726,0.039,0.054,0.571,0.024,0.298,0.257,0.020,0.137,0.119,0.065,0.525,0.101,0.606,0.001
Pringsewu,0.000,0.140,1.161,0.245,1.006,-,2.935,0.061,0.154,0.603,0.043,0.246,0.035,0.099,0.223,0.032,0.236,0.056,0.808,0.022,0.120,0.470,0.032,0.343,0.277,0.051,0.268,0.085,0.036,0.507,0.069,0.541,0.000
Mesuji,0.000,0.067,1.757,0.203,0.855,-,4.025,0.062,0.217,0.369,0.029,0.054,0.051,0.112,0.043,0.031,0.276,0.016,0.631,0.021,0.068,0.538,0.007,0.293,0.048,0.052,0.198,0.195,0.057,0.497,0.143,1.359,0.000
Tulang Bawang Barat,0.000,0.073,1.252,0.124,0.639,-,2.715,0.049,0.089,0.607,0.049,0.070,0.069,0.147,0.098,0.017,0.174,0.015,0.322,0.020,0.028,0.575,0.007,0.227,0.118,0.038,0.049,0.113,0.031,0.746,0.066,0.842,0.003
Pesisir Barat,0.000,0.217,1.654,0.413,1.332,-,4.327,0.043,0.084,0.071,0.068,0.105,0.013,0.028,0.049,0.029,0.369,0.072,1.120,0.052,0.041,0.131,0.011,0.177,0.085,0.024,0.048,0.093,0.124,0.232,0.178,0.459,-
Kota Bandar Lampung,0.000,0.694,1.250,0.303,0.887,-,2.755,0.096,0.226,0.554,0.165,0.417,0.187,0.141,0.333,0.089,0.487,0.120,0.625,0.182,0.221,0.427,0.143,0.523,0.210,0.251,0.260,0.102,0.092,0.520,0.268,0.256,0.002
Kota Metro,0.000,0.420,1.183,0.369,1.038,-,2.974,0.101,0.218,0.454,0.130,0.564,0.055,0.237,0.443,0.098,0.607,0.078,0.605,0.274,0.258,0.309,0.032,0.407,0.307,0.140,0.172,0.184,0.088,0.494,0.176,0.267,0.005
Bangka,0.000,0.396,0.887,0.435,3.386,-,3.457,0.037,0.092,0.456,0.187,0.087,0.032,0.061,0.179,0.136,0.587,0.045,0.385,0.139,0.137,0.287,0.020,0.042,0.951,0.173,0.299,0.262,0.098,0.361,0.139,0.505,0.000
Belitung,0.000,0.350,1.116,0.273,3.739,-,2.543,0.013,0.095,0.535,0.181,0.157,0.027,0.086,0.141,0.131,0.769,0.046,0.399,0.137,0.209,0.540,0.106,0.063,0.144,0.091,0.465,0.362,0.285,0.658,0.103,0.606,0.000
Bangka Barat,0.000,0.244,0.564,0.459,4.628,-,2.067,0.033,0.082,0.317,0.121,0.159,0.027,0.064,0.143,0.111,0.489,0.102,0.660,0.094,0.134,0.787,0.032,0.040,0.684,0.057,0.181,0.344,0.296,0.558,0.168,0.807,0.004
Bangka Tengah,0.000,0.279,0.876,0.179,4.404,-,2.108,0.020,0.039,0.122,0.117,0.300,0.026,0.056,0.162,0.137,0.684,0.053,0.279,0.086,0.214,0.531,0.028,0.081,0.136,0.058,0.308,0.127,0.162,0.323,0.113,0.398,0.003
Bangka Selatan,0.000,0.175,0.857,0.470,4.541,-,3.204,0.038,0.143,0.181,0.187,0.140,0.101,0.067,0.104,0.252,0.924,0.109,0.835,0.055,0.221,0.841,0.026,0.092,0.300,0.064,0.281,0.313,0.418,0.639,0.206,0.929,0.000
Belitung Timur,0.000,0.339,0.787,0.330,4.219,-,2.271,0.003,0.069,0.503,0.092,0.016,0.008,0.053,0.082,0.138,0.634,0.041,0.430,0.074,0.092,0.726,0.037,0.083,0.115,0.062,0.472,0.315,0.218,0.601,0.077,0.544,0.001
Kota Pangkal Pinang,0.000,0.931,0.658,0.279,4.321,-,2.311,0.085,0.108,0.362,0.220,0.389,0.059,0.111,0.347,0.274,0.733,0.034,0.295,0.227,0.377,0.363,0.184,0.118,0.341,0.172,0.452,0.174,0.079,0.316,0.296,0.278,0.000
Karimun,0.000,0.666,0.680,0.642,3.580,-,1.607,0.052,0.164,0.694,0.165,0.081,0.585,0.068,0.039,0.094,0.333,0.036,0.538,0.055,0.077,0.250,0.067,0.126,0.226,0.152,0.191,0.412,0.326,0.939,0.156,0.621,0.002
Bintan,0.000,1.091,1.203,0.231,2.652,-,1.427,0.053,0.198,0.498,0.086,0.041,0.328,0.084,0.032,0.104,0.299,0.029,0.563,0.065,0.085,0.358,0.023,0.053,0.131,0.133,0.207,0.134,0.119,0.524,0.223,0.518,0.003
Natuna,0.000,0.343,1.246,0.482,4.275,-,1.596,0.025,0.200,0.531,0.184,0.035,0.140,0.076,0.123,0.080,0.601,0.034,0.588,0.115,0.086,0.276,0.040,0.029,0.104,0.039,0.162,0.072,0.109,0.770,0.097,0.770,0.001
Lingga,0.000,0.352,0.440,1.034,4.535,-,2.215,0.020,0.134,0.700,0.103,0.055,0.213,0.099,0.129,0.077,0.195,0.012,0.474,0.090,0.083,0.270,0.041,0.021,0.085,0.045,0.189,0.069,0.106,0.568,0.037,0.912,0.002
Kepulauan Anambas,0.000,0.350,0.744,0.572,2.655,-,2.415,0.019,0.168,0.251,0.241,0.075,0.198,0.081,0.110,0.067,0.384,0.027,0.558,0.049,0.075,0.014,0.050,0.012,0.312,0.185,0.211,0.086,0.173,0.515,0.071,0.504,-
Kota Batam,0.000,0.700,1.331,0.382,2.115,-,2.998,0.113,0.211,1.545,0.210,0.294,0.487,0.135,0.159,0.131,0.506,0.060,0.559,0.121,0.293,0.360,0.156,0.142,0.219,0.367,0.550,0.389,0.197,1.025,0.307,0.240,0.003
Kota Tanjung Pinang,0.000,0.588,0.975,0.577,1.848,-,1.709,0.049,0.211,0.603,0.328,0.202,0.508,0.165,0.123,0.185,0.404,0.075,0.581,0.130,0.253,0.578,0.105,0.068,0.230,0.146,0.269,0.268,0.180,1.089,0.211,0.158,0.003
Kep. Seribu,0.000,0.377,1.315,1.062,1.134,-,4.259,0.349,0.424,0.422,0.156,0.242,0.116,0.109,0.223,0.047,0.850,0.144,1.070,0.326,0.321,0.748,0.176,0.595,0.471,3.347,0.707,0.248,0.101,0.316,0.302,1.218,0.010
Kota Jakarta Selatan,0.000,1.056,1.065,0.561,0.858,-,2.621,0.218,0.339,1.201,0.404,0.333,0.236,0.295,0.246,0.149,0.695,0.127,0.524,0.185,0.389,0.343,0.562,0.405,0.578,0.620,0.338,0.240,0.207,0.997,0.276,0.356,0.001
Kota Jakarta Timur,0.000,0.739,0.933,0.516,0.877,-,2.403,0.359,0.342,1.181,0.335,0.448,0.401,0.311,0.345,0.127,0.726,0.151,0.693,0.306,0.435,0.364,0.605,0.433,0.283,0.739,0.418,0.250,0.214,1.165,0.361,0.362,-
Kota Jakarta Pusat,0.000,0.540,1.031,0.434,1.016,-,2.539,0.252,0.365,1.611,0.461,0.589,0.405,0.286,0.623,0.106,0.935,0.184,0.947,0.336,0.475,0.616,0.831,0.417,0.404,0.768,0.402,0.216,0.174,1.206,0.262,0.283,0.001
Kota Jakarta Barat,0.000,0.749,1.326,0.607,1.137,-,3.592,0.379,0.426,1.472,0.682,0.250,0.484,0.260,0.508,0.132,0.977,0.209,0.659,0.289,0.405,0.694,1.024,0.742,0.135,0.829,0.387,0.213,0.168,1.066,0.335,0.534,0.001
Kota Jakarta Utara,0.000,0.994,1.019,0.608,1.338,-,2.784,0.337,0.326,1.311,0.423,0.801,0.511,0.356,0.447,0.184,0.755,0.202,0.884,0.421,0.530,0.651,0.664,0.471,0.404,1.529,0.370,0.347,0.182,1.232,0.272,0.389,0.033
Bogor,0.000,0.377,0.022,0.587,1.951,-,3.160,0.116,0.176,0.906,0.168,0.106,0.067,0.102,0.169,0.052,0.733,0.095,0.927,0.097,0.199,0.500,0.454,0.282,0.529,0.308,0.129,0.261,0.389,0.748,0.250,0.334,0.000
Sukabumi,0.000,0.088,1.011,0.489,0.917,-,3.176,0.056,0.102,0.435,0.076,0.091,0.036,0.027,0.126,0.040,0.663,0.106,0.736,0.077,0.188,0.268,0.344,0.149,0.508,0.149,0.069,0.316,0.303,0.815,0.239,0.156,0.003
Cianjur,0.000,0.296,1.263,0.467,0.954,-,5.139,0.122,0.079,0.309,0.052,0.063,0.057,0.035,0.186,0.045,0.662,0.048,0.530,0.045,0.156,0.446,0.507,0.322,0.610,0.151,0.088,0.537,0.741,0.989,0.219,0.163,0.002
Bandung,0.000,0.351,1.348,0.563,1.429,-,6.019,0.207,0.094,0.522,0.096,0.045,0.225,0.061,0.290,0.114,0.970,0.107,0.612,0.066,0.243,0.420,0.506,0.469,0.660,0.218,0.267,0.381,0.663,0.946,0.285,0.196,0.002
Garut,0.000,0.261,1.431,0.434,1.327,-,6.484,0.106,0.072,0.670,0.066,0.073,0.063,0.037,0.176,0.040,0.905,0.093,0.951,0.025,0.135,0.424,0.444,0.506,0.742,0.083,0.080,0.306,0.317,0.838,0.238,0.255,0.002
Tasikmalaya,0.000,0.207,1.266,0.412,1.966,-,6.116,0.136,0.089,0.545,0.029,0.216,0.084,0.062,0.988,0.049,0.633,0.053,0.712,0.124,0.324,0.516,0.192,0.385,0.924,0.048,0.080,0.309,0.552,1.236,0.257,0.202,-
Ciamis,0.000,0.254,1.398,0.369,1.642,-,5.265,0.228,0.248,0.480,0.116,0.408,0.173,0.066,0.867,0.105,0.551,0.118,0.556,0.157,0.367,0.517,0.259,0.358,0.657,0.096,0.116,0.324,0.362,0.946,0.248,0.287,-
Kuningan,0.000,0.311,1.131,0.670,2.557,-,7.216,0.227,0.178,0.859,0.096,0.108,0.031,0.050,0.513,0.082,0.729,0.056,1.104,0.113,0.228,0.600,0.358,0.408,0.675,0.150,0.102,0.715,0.332,0.803,0.155,0.247,0.003
Cirebon,0.000,0.251,1.019,1.223,1.499,-,7.045,0.144,0.274,2.461,0.103,0.205,0.260,0.135,1.405,0.059,0.893,0.077,1.650,0.337,0.435,0.817,0.347,0.478,0.870,0.313,0.246,0.434,0.141,1.303,0.202,1.903,0.009
Majalengka,0.000,0.294,1.333,0.443,1.523,-,7.619,0.225,0.289,0.793,0.080,0.620,0.230,0.204,2.279,0.123,0.809,0.075,0.919,0.171,0.597,0.990,0.538,0.513,0.838,0.147,0.179,0.684,0.180,0.684,0.283,0.711,-
Sumedang,0.000,0.193,1.282,0.434,1.560,-,5.348,0.106,0.123,0.887,0.118,0.113,0.170,0.070,0.503,0.073,0.802,0.051,0.647,0.081,0.376,0.365,0.366,0.407,0.503,0.097,0.121,0.361,0.273,0.981,0.279,0.196,-
Indramayu,0.000,0.240,1.636,0.959,1.955,-,5.970,0.207,0.715,1.617,0.145,0.207,0.323,0.082,0.628,0.134,0.859,0.127,1.682,0.741,0.314,1.103,0.389,0.484,0.831,0.256,0.320,0.644,0.272,1.029,0.227,2.651,0.001
Subang,0.000,0.227,1.166,0.508,1.192,-,6.689,0.154,0.339,0.511,0.071,0.169,0.375,0.206,0.533,0.076,0.875,0.105,0.808,0.393,0.471,0.519,0.396,0.423,0.344,0.216,0.144,0.482,0.235,0.782,0.261,0.816,0.000
Purwakarta,0.000,0.423,1.321,0.356,1.235,-,4.877,0.161,0.178,0.729,0.200,0.310,0.122,0.155,0.386,0.200,0.879,0.193,0.612,0.117,0.308,0.391,0.607,0.291,0.326,0.313,0.111,0.391,0.677,0.985,0.306,0.328,0.000
Karawang,0.000,0.574,1.522,0.590,1.396,-,5.966,0.178,0.317,1.497,0.305,0.606,0.281,0.188,0.643,0.106,0.930,0.183,0.642,0.364,0.387,0.718,0.741,0.310,0.375,0.327,0.292,0.543,0.351,1.186,0.203,0.519,0.004
Bekasi,0.000,0.488,1.105,0.563,1.136,-,3.740,0.221,0.246,1.674,0.274,0.138,0.233,0.130,0.291,0.090,0.810,0.148,0.718,0.156,0.311,0.621,0.599,0.486,0.247,0.430,0.407,0.262,0.225,0.960,0.264,0.503,0.002
Bandung Barat,0.000,0.390,1.434,0.445,1.008,-,4.993,0.264,0.073,0.424,0.084,0.136,0.119,0.028,0.141,0.076,0.865,0.088,0.687,0.025,0.160,0.384,0.423,0.458,0.496,0.137,0.100,0.402,0.773,0.796,0.273,0.109,0.002
Pangandaran,0.000,0.325,1.259,0.348,1.248,-,4.343,0.175,0.389,0.301,0.144,0.182,0.230,0.222,0.577,0.135,0.422,0.055,0.522,0.161,0.333,0.522,0.172,0.306,0.758,0.117,0.197,0.464,0.351,0.823,0.227,0.389,0.001
Kota Bogor,0.000,0.613,0.825,0.280,0.491,-,2.886,0.147,0.241,0.803,0.229,0.440,0.188,0.121,0.254,0.047,0.855,0.090,0.376,0.099,0.223,0.447,0.518,0.336,0.252,0.281,0.143,0.198,0.161,0.638,0.235,0.380,0.004
Kota Sukabumi,0.000,0.661,1.072,0.487,0.946,-,4.149,0.248,0.099,0.666,0.150,0.137,0.095,0.075,0.153,0.091,0.901,0.109,0.788,0.120,0.275,0.459,0.845,0.254,0.371,0.282,0.267,0.391,0.394,0.994,0.233,0.224,0.001
Kota Bandung,0.000,0.994,1.147,0.548,1.146,-,3.926,0.257,0.150,1.016,0.314,0.435,0.247,0.147,0.513,0.174,0.929,0.099,0.565,0.195,0.509,0.517,0.756,0.492,0.580,0.385,0.343,0.592,0.387,0.729,0.304,0.245,0.004
Kota Cirebon,0.000,0.504,0.858,0.389,0.943,-,3.008,0.254,0.278,1.400,0.220,0.208,0.306,0.172,0.642,0.122,1.024,0.130,0.641,0.172,0.477,0.699,0.314,0.410,0.394,0.293,0.230,0.149,0.128,0.916,0.179,1.503,0.016
Kota Bekasi,0.000,0.986,0.802,0.448,0.705,-,2.672,0.235,0.282,1.509,0.350,0.227,0.239,0.220,0.296,0.116,0.705,0.140,0.546,0.147,0.271,0.533,0.476,0.377,0.308,0.728,0.424,0.348,0.150,0.936,0.296,0.380,0.003
Kota Depok,0.000,0.779,0.827,0.513,0.736,-,2.518,0.172,0.232,1.086,0.292,0.245,0.156,0.259,0.206,0.088,0.719,0.103,0.323,0.138,0.340,0.188,0.430,0.392,0.250,0.501,0.218,0.342,0.265,1.049,0.378,0.359,-
Kota Cimahi,0.000,0.658,1.080,0.811,1.314,-,3.785,0.165,0.107,0.944,0.209,0.157,0.188,0.101,0.424,0.087,0.868,0.073,0.991,0.082,0.312,0.300,0.472,0.429,0.530,0.392,0.282,0.664,0.445,0.657,0.262,0.214,0.001
Kota Tasikmalaya,0.000,0.629,1.528,0.439,1.819,-,6.248,0.392,0.227,0.561,0.171,0.082,0.069,0.137,2.749,0.124,0.886,0.097,0.867,0.176,0.545,0.875,0.714,0.590,0.688,0.066,0.208,0.562,0.604,0.993,0.240,0.399,-
Kota Banjar,0.000,0.188,1.190,0.494,1.443,-,4.987,0.229,0.371,0.479,0.145,0.185,0.122,0.253,1.303,0.072,0.818,0.065,1.091,0.158,0.571,0.452,0.345,0.367,0.709,0.162,0.244,0.231,0.378,0.630,0.276,0.606,-
Cilacap,0.000,0.145,0.923,0.303,1.381,-,3.287,0.112,0.213,0.682,0.107,0.114,0.094,0.105,0.290,0.048,0.444,0.042,0.446,0.062,0.178,0.488,0.062,0.565,0.439,0.081,0.130,0.225,0.174,0.862,0.193,0.699,0.000
Banyumas,0.000,0.213,0.989,0.484,2.197,-,3.852,0.281,0.256,1.487,0.125,0.110,0.060,0.162,0.460,0.122,0.716,0.031,0.684,0.092,0.324,0.372,0.101,0.664,0.328,0.133,0.093,0.268,0.187,1.034,0.255,0.538,0.003
