Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Batang Hari,0.000,0.124,0.992,0.212,1.224,2.473,0.077,0.061,0.209,0.222,0.118,1.123,0.180,0.094,0.325,0.148,0.209,0.092,0.467,0.228,0.239,0.732,0.006,0.099,0.202,0.210,0.077,0.374,0.132,0.429,0.192,0.159,0.001
Muaro Jambi,0.000,0.185,0.794,0.276,1.390,2.553,0.028,0.037,0.215,0.288,0.104,0.759,0.181,0.090,0.057,0.208,0.381,0.121,0.359,0.027,0.107,0.756,0.031,0.148,0.069,0.091,0.196,0.194,0.205,0.534,0.187,0.225,0.001
Tanjung Jabung Timur,0.000,0.643,1.210,0.299,1.681,3.643,0.264,0.085,0.302,0.469,0.237,0.628,0.257,0.182,0.253,0.164,0.313,0.132,0.564,0.156,0.291,1.032,0.041,0.044,0.431,0.047,0.240,0.316,0.146,0.815,0.200,0.441,0.001
Tanjung Jabung Barat,0.000,0.295,0.634,0.468,2.113,2.803,0.046,0.047,0.153,0.648,0.098,0.144,0.149,0.152,0.072,0.116,0.241,0.090,0.643,0.017,0.162,0.855,0.114,0.080,0.194,0.048,0.204,0.341,0.069,0.627,0.204,0.377,0.002
Tebo,0.000,0.218,0.968,0.204,1.011,2.265,0.076,0.047,0.218,0.423,0.150,0.099,0.232,0.098,0.045,0.266,0.421,0.062,0.457,0.021,0.170,0.585,0.023,0.159,0.053,0.063,0.133,0.221,0.168,0.356,0.183,0.284,0.001
Bungo,0.000,0.281,1.083,0.245,0.780,3.003,0.177,0.105,0.239,0.213,0.230,0.242,0.323,0.092,0.096,0.399,0.433,0.148,0.723,0.099,0.212,1.164,0.018,0.236,0.071,0.085,0.165,0.282,0.122,0.249,0.286,0.346,0.001
Kota Jambi,0.000,0.810,1.204,0.352,1.916,2.697,0.443,0.164,0.225,0.624,0.198,0.059,0.463,0.159,0.161,0.204,0.451,0.063,0.732,0.085,0.243,0.703,0.151,0.233,0.249,0.274,0.358,0.175,0.198,0.366,0.313,0.235,0.001
Kota Sungai Penuh,0.000,0.311,1.310,0.540,1.741,3.665,0.079,0.178,0.164,0.326,0.306,0.029,1.089,0.101,0.038,0.273,0.275,0.061,0.671,0.069,0.173,0.976,0.022,0.172,0.088,0.037,0.221,0.140,0.059,0.436,0.148,0.048,-
Ogan Komering Ulu,0.000,0.236,1.292,0.266,1.608,2.941,0.187,0.083,0.194,0.775,0.085,0.067,0.065,0.095,0.114,0.099,0.511,0.030,0.517,0.014,0.093,0.785,0.021,0.205,0.205,0.176,0.132,0.313,0.188,0.856,0.194,0.126,-
Ogan Komering Ilir,0.000,0.228,1.311,0.195,1.237,2.988,0.228,0.075,0.243,0.662,0.122,0.307,0.109,0.158,0.125,0.130,0.369,0.199,0.559,0.028,0.129,0.850,0.038,0.193,0.185,0.165,0.175,0.224,0.197,0.724,0.243,0.555,0.003
Muara Enim,0.000,0.247,1.128,0.146,1.081,2.830,0.092,0.042,0.188,0.400,0.097,0.600,0.125,0.121,0.239,0.100,0.557,0.172,0.603,0.081,0.180,0.880,0.028,0.159,0.234,0.133,0.069,0.233,0.115,0.593,0.246,0.352,-
Lahat,0.000,0.175,1.360,0.313,1.068,3.496,0.073,0.050,0.135,0.765,0.081,0.053,0.124,0.031,0.054,0.072,0.606,0.091,0.815,0.011,0.082,0.785,0.019,0.189,0.246,0.063,0.062,0.089,0.190,0.888,0.174,0.207,0.001
Musi Rawas,0.000,0.184,1.093,0.126,0.879,2.286,0.186,0.085,0.254,0.218,0.093,0.419,0.121,0.235,0.246,0.067,0.325,0.071,0.312,0.087,0.348,0.526,0.017,0.241,0.233,0.128,0.041,0.216,0.228,0.719,0.149,0.449,0.004
Musi Banyuasin,0.000,0.213,1.120,0.215,0.633,2.466,0.066,0.049,0.146,0.117,0.098,0.123,0.061,0.065,0.093,0.070,0.304,0.068,0.609,0.065,0.071,0.290,0.060,0.109,0.225,0.099,0.165,0.199,0.160,0.326,0.149,0.125,0.000
Banyu Asin,0.000,0.277,1.346,0.242,1.181,3.440,0.226,0.105,0.296,0.415,0.135,0.489,0.223,0.157,0.227,0.206,0.515,0.230,0.513,0.208,0.410,1.017,0.076,0.152,0.324,0.381,0.224,0.278,0.159,0.943,0.271,0.595,0.001
Ogan Komering Ulu Selatan,0.000,0.151,1.412,0.165,0.826,3.045,0.137,0.061,0.164,0.433,0.023,0.026,0.097,0.064,0.042,0.025,0.289,0.065,0.165,0.014,0.025,0.465,0.016,0.177,0.096,0.044,0.004,0.132,0.129,1.150,0.172,0.177,-
Ogan Komering Ulu Timur,0.000,0.237,1.560,0.168,1.044,2.455,0.080,0.067,0.248,0.163,0.058,0.730,0.141,0.284,0.456,0.058,0.432,0.094,0.506,0.242,0.534,0.983,0.027,0.285,0.115,0.101,0.049,0.098,0.208,1.146,0.229,0.443,0.005
Ogan Ilir,0.000,0.186,1.281,0.143,1.203,2.929,0.504,0.052,0.239,0.250,0.042,0.532,0.068,0.090,0.210,0.090,0.364,0.053,0.763,0.105,0.408,0.702,0.025,0.158,0.555,0.093,0.145,0.200,0.166,0.248,0.229,0.655,-
Empat Lawang,0.000,0.158,1.307,0.318,0.973,3.803,0.141,0.059,0.135,0.669,0.027,0.213,0.118,0.146,0.236,0.044,0.525,0.084,0.643,0.135,0.183,0.780,0.009,0.295,0.208,0.200,0.020,0.187,0.238,0.552,0.123,0.349,-
Penukal Abab Lematang Ilir,0.000,0.226,1.497,0.093,1.008,2.566,0.109,0.028,0.075,0.316,0.074,0.031,0.196,0.027,0.072,0.076,0.422,0.201,0.385,0.040,0.011,0.814,0.019,0.224,0.268,0.047,0.089,0.316,0.292,0.645,0.186,0.730,0.002
Musi Rawas Utara,0.000,0.120,1.300,0.249,0.899,3.470,0.248,0.098,0.317,0.101,0.107,0.591,0.135,0.123,0.260,0.198,0.317,0.178,0.571,0.154,0.518,0.928,0.010,0.121,0.308,0.159,0.034,0.488,0.200,0.981,0.203,0.525,0.001
Kota Palembang,0.000,0.515,1.220,0.437,1.580,2.723,1.289,0.130,0.195,0.864,0.206,0.377,0.297,0.145,0.240,0.163,0.733,0.119,0.582,0.222,0.315,0.782,0.198,0.265,0.383,0.209,0.240,0.150,0.158,0.416,0.313,0.551,0.002
Kota Prabumulih,0.000,0.430,1.014,0.128,1.362,2.568,0.362,0.033,0.145,0.617,0.083,0.170,0.123,0.056,0.067,0.134,0.421,0.058,0.478,0.109,0.181,0.811,0.055,0.206,0.528,0.137,0.169,0.077,0.130,0.545,0.235,0.459,0.000
Kota Pagar Alam,0.000,0.148,1.077,0.315,0.575,3.022,0.169,0.107,0.151,0.205,0.105,0.792,0.185,0.199,0.496,0.043,0.833,0.124,0.801,0.301,0.587,0.802,0.026,0.264,0.360,0.165,0.017,0.110,0.182,0.848,0.197,0.114,0.003
Kota Lubuklinggau,0.000,0.281,1.183,0.259,1.521,3.341,0.249,0.072,0.208,0.696,0.153,0.698,0.319,0.423,0.456,0.188,0.516,0.079,0.487,0.185,0.771,0.776,0.057,0.384,0.199,0.250,0.132,0.178,0.113,0.760,0.327,0.499,0.011
Bengkulu Selatan,0.000,0.153,0.832,0.242,1.182,2.873,0.070,0.034,0.138,0.078,0.141,0.476,0.236,0.109,0.198,0.201,0.290,0.058,0.799,0.109,0.544,0.712,0.014,0.222,0.100,0.207,0.015,0.400,0.189,0.599,0.152,0.060,0.003
Rejang Lebong,0.000,0.097,0.685,0.229,0.908,2.282,0.051,0.026,0.044,0.598,0.027,0.057,0.189,0.088,0.100,0.193,0.458,0.067,0.417,0.037,0.143,0.105,0.006,0.306,0.203,0.064,0.010,0.181,0.177,0.508,0.192,0.092,0.000
Bengkulu Utara,0.000,0.163,0.987,0.356,1.207,2.302,0.075,0.046,0.176,0.386,0.106,0.107,0.221,0.121,0.103,0.219,0.451,0.133,0.725,0.027,0.213,0.302,0.010,0.331,0.164,0.029,0.031,0.211,0.180,0.459,0.203,0.165,0.004
Kaur,0.000,0.090,1.177,0.479,0.996,3.715,0.138,0.049,0.166,0.496,0.089,0.012,0.287,0.047,0.039,0.299,0.255,0.045,0.924,0.009,0.039,0.577,0.009,0.279,0.147,0.070,0.030,0.247,0.208,0.921,0.174,0.164,0.000
Seluma,0.000,0.199,1.230,0.361,1.240,3.134,0.191,0.061,0.153,0.640,0.082,0.118,0.203,0.092,0.095,0.225,0.309,0.048,0.892,0.019,0.071,0.230,0.003,0.253,0.090,0.125,0.024,0.404,0.202,0.950,0.218,0.247,0.002
Mukomuko,0.000,0.161,0.866,0.152,0.768,2.562,0.028,0.057,0.096,0.082,0.164,0.226,0.359,0.078,0.102,0.336,0.318,0.042,0.886,0.065,0.114,0.273,0.005,0.210,0.078,0.024,0.198,0.111,0.127,0.488,0.315,0.136,0.001
Lebong,0.000,0.117,0.881,0.154,0.748,3.404,0.120,0.043,0.077,0.314,0.106,0.101,0.324,0.114,0.083,0.158,0.490,0.146,0.836,0.059,0.157,0.130,0.007,0.178,0.132,0.009,0.041,0.187,0.132,1.408,0.151,0.162,0.003
Kepahiang,0.000,0.122,0.749,0.158,0.869,1.901,0.099,0.022,0.039,0.505,0.052,0.116,0.151,0.082,0.081,0.237,0.384,0.080,0.548,0.008,0.139,0.202,0.002,0.248,0.180,0.038,0.004,0.208,0.107,0.678,0.110,0.076,0.001
Bengkulu Tengah,0.000,0.209,0.759,0.256,1.115,2.760,0.075,0.074,0.119,0.378,0.024,0.353,0.188,0.096,0.178,0.162,0.372,0.055,0.517,0.130,0.359,0.179,0.008,0.216,0.334,0.147,0.052,0.366,0.092,0.623,0.180,0.137,0.007
Kota Bengkulu,0.000,0.571,0.543,0.329,0.918,2.401,0.167,0.091,0.143,0.338,0.115,0.109,0.274,0.104,0.129,0.159,0.413,0.092,0.409,0.082,0.244,0.359,0.053,0.428,0.301,0.089,0.370,0.203,0.122,0.328,0.225,0.240,0.000
Lampung Barat,0.000,0.191,1.193,0.199,1.055,2.644,0.058,0.070,0.123,0.245,0.035,0.055,0.053,0.085,0.065,0.039,0.284,0.037,0.374,0.027,0.049,0.347,0.035,0.307,0.090,0.026,0.007,0.121,0.154,0.947,0.136,0.078,0.002
Tanggamus,0.000,0.129,1.735,0.240,1.040,2.386,0.034,0.085,0.144,0.129,0.036,0.247,0.057,0.055,0.219,0.009,0.324,0.093,0.521,0.132,0.172,0.454,0.014,0.192,0.094,0.041,0.032,0.055,0.249,1.108,0.195,0.214,-
Lampung Selatan,0.000,0.099,1.528,0.380,0.881,2.079,0.039,0.059,0.204,0.303,0.074,0.271,0.096,0.109,0.157,0.029,0.324,0.075,0.592,0.029,0.134,0.688,0.037,0.430,0.042,0.065,0.244,0.136,0.112,0.671,0.190,0.338,-
Lampung Timur,0.000,0.188,1.032,0.156,0.937,1.920,0.080,0.054,0.146,0.487,0.088,0.162,0.068,0.231,0.151,0.038,0.254,0.048,1.141,0.072,0.088,0.537,0.018,0.242,0.062,0.061,0.048,0.090,0.134,0.923,0.127,0.492,0.002
Lampung Tengah,0.000,0.096,1.556,0.277,0.958,2.342,0.069,0.067,0.177,0.404,0.045,0.074,0.087,0.185,0.135,0.030,0.390,0.066,0.580,0.026,0.114,0.575,0.010,0.305,0.068,0.066,0.019,0.083,0.067,1.022,0.207,0.499,0.002
Lampung Utara,0.000,0.086,0.793,0.109,0.463,1.620,0.064,0.037,0.132,0.553,0.028,0.055,0.037,0.074,0.050,0.046,0.377,0.011,0.376,0.005,0.064,0.453,0.021,0.130,0.088,0.027,0.018,0.059,0.180,0.384,0.129,0.226,0.000
Way Kanan,0.000,0.145,1.428,0.151,0.912,2.616,0.037,0.058,0.175,0.394,0.027,0.208,0.080,0.171,0.142,0.057,0.420,0.095,0.595,0.052,0.161,0.683,0.011,0.243,0.098,0.136,0.013,0.213,0.276,1.084,0.252,0.393,0.001
Tulangbawang,0.000,0.115,1.450,0.224,1.136,2.334,0.044,0.049,0.126,0.391,0.037,0.075,0.027,0.102,0.083,0.031,0.284,0.054,0.564,0.020,0.061,0.554,0.019,0.261,0.089,0.091,0.186,0.181,0.219,0.826,0.191,0.560,0.001
Pesawaran,0.000,0.139,1.397,0.325,1.194,2.073,0.061,0.041,0.182,0.284,0.051,0.152,0.107,0.106,0.169,0.032,0.293,0.068,0.842,0.042,0.161,0.848,0.028,0.248,0.301,0.074,0.054,0.191,0.156,0.838,0.143,0.444,0.002
Pringsewu,0.000,0.191,1.463,0.250,1.230,2.048,0.083,0.032,0.162,0.438,0.045,0.487,0.022,0.125,0.316,0.066,0.323,0.039,0.913,0.073,0.260,1.016,0.030,0.264,0.314,0.112,0.234,0.169,0.085,0.771,0.142,0.411,-
Mesuji,0.000,0.148,1.729,0.111,0.758,2.082,0.028,0.051,0.133,0.253,0.049,0.227,0.040,0.084,0.175,0.056,0.279,0.035,0.377,0.052,0.181,0.623,0.008,0.245,0.144,0.050,0.224,0.161,0.086,0.865,0.175,0.660,0.000
Tulang Bawang Barat,0.000,0.090,0.963,0.102,0.868,1.989,0.032,0.076,0.156,0.577,0.058,0.062,0.049,0.179,0.093,0.020,0.276,0.021,0.355,0.008,0.079,0.495,0.021,0.172,0.061,0.047,0.028,0.086,0.074,0.836,0.116,0.516,0.000
Pesisir Barat,0.000,0.259,1.528,0.246,1.355,3.129,0.052,0.061,0.137,0.176,0.045,0.091,0.029,0.063,0.070,0.027,0.338,0.030,0.405,0.026,0.044,0.194,0.029,0.199,0.138,0.051,0.083,0.602,0.166,1.237,0.164,0.208,0.002
Kota Bandar Lampung,0.000,0.662,1.251,0.330,1.051,2.311,0.131,0.091,0.184,0.614,0.136,0.142,0.147,0.124,0.249,0.075,0.364,0.094,0.528,0.083,0.136,0.766,0.124,0.356,0.279,0.220,0.381,0.103,0.100,0.459,0.221,0.506,0.003
Kota Metro,0.000,0.382,1.515,0.549,2.164,2.256,0.183,0.150,0.245,0.667,0.149,0.234,0.075,0.313,0.234,0.094,0.639,0.049,0.868,0.064,0.292,0.814,0.058,0.270,0.325,0.138,0.162,0.158,0.119,0.876,0.216,0.389,-
Bangka,0.000,0.302,0.891,0.400,3.978,2.298,0.755,0.044,0.106,0.098,0.227,0.534,0.048,0.200,0.502,0.256,0.547,0.058,0.453,0.158,0.518,0.704,0.092,0.109,0.320,0.184,0.312,0.154,0.139,0.412,0.253,0.357,-
Belitung,0.000,0.506,0.953,0.301,3.313,1.987,0.134,0.049,0.141,0.329,0.284,0.098,0.051,0.110,0.194,0.231,0.677,0.057,0.680,0.102,0.356,0.916,0.171,0.129,0.072,0.117,0.542,0.216,0.293,0.421,0.133,0.447,0.004
Bangka Barat,0.000,0.270,0.690,0.403,3.250,1.717,0.438,0.051,0.049,0.143,0.146,0.298,0.043,0.111,0.324,0.139,0.501,0.050,0.797,0.108,0.340,0.746,0.025,0.063,0.228,0.062,0.255,0.233,0.185,0.777,0.218,0.421,0.005
Bangka Tengah,0.000,0.444,0.829,0.392,2.449,1.823,0.722,0.050,0.082,0.163,0.188,0.314,0.119,0.148,0.272,0.283,0.725,0.051,0.639,0.118,0.390,1.056,0.059,0.110,0.236,0.095,0.346,0.261,0.262,0.361,0.183,0.355,0.002
Bangka Selatan,0.000,0.114,0.846,0.389,2.835,2.581,1.218,0.074,0.117,0.296,0.191,0.320,0.213,0.131,0.233,0.192,0.836,0.082,0.587,0.083,0.408,1.218,0.011,0.131,0.299,0.143,0.357,0.537,0.656,0.372,0.205,0.976,-
Belitung Timur,0.000,0.374,1.084,0.160,3.363,1.626,0.039,0.018,0.073,0.175,0.162,0.301,0.016,0.086,0.282,0.220,0.672,0.116,0.465,0.210,0.392,0.950,0.055,0.077,0.069,0.210,0.617,0.227,0.117,0.622,0.187,0.448,0.004
Kota Pangkal Pinang,0.000,0.803,0.727,0.210,3.315,1.614,0.388,0.083,0.107,0.291,0.255,0.288,0.075,0.124,0.370,0.221,0.655,0.027,0.412,0.164,0.479,0.649,0.218,0.162,0.219,0.092,0.566,0.106,0.100,0.261,0.289,0.232,-
Karimun,0.000,0.533,0.936,0.307,3.118,1.108,0.035,0.035,0.203,0.217,0.179,0.219,0.644,0.057,0.087,0.130,0.282,0.044,0.471,0.130,0.172,0.326,0.100,0.153,0.039,0.093,0.269,0.194,0.191,0.663,0.132,0.164,0.002
Bintan,0.000,0.633,0.838,0.309,2.350,1.965,0.081,0.133,0.235,0.294,0.197,0.031,0.240,0.112,0.071,0.158,0.272,0.062,0.661,0.053,0.160,0.672,0.125,0.085,0.178,0.092,0.285,0.099,0.133,0.523,0.291,0.168,0.000
Natuna,0.000,0.549,1.286,0.335,3.736,2.210,0.086,0.021,0.175,0.212,0.253,0.047,0.138,0.065,0.255,0.067,0.458,0.038,0.578,0.095,0.147,0.432,0.114,0.023,0.039,0.013,0.272,0.056,0.067,0.424,0.101,0.488,0.002
Lingga,0.000,0.416,0.728,0.878,3.711,1.743,0.095,0.026,0.202,0.311,0.097,0.047,0.423,0.105,0.087,0.108,0.176,0.043,0.262,0.095,0.094,0.300,0.151,0.029,0.075,0.026,0.213,0.078,0.089,0.463,0.155,0.261,0.017
Kepulauan Anambas,0.000,0.282,0.278,0.282,3.382,1.393,0.127,0.033,0.167,0.175,0.251,0.104,0.251,0.061,0.105,0.093,0.528,0.061,0.356,0.048,0.159,0.195,0.119,0.029,0.088,0.079,0.374,0.068,0.244,0.593,0.079,0.403,0.007
Kota Batam,0.000,0.858,0.934,0.448,1.603,2.541,0.182,0.108,0.194,0.933,0.198,0.290,0.348,0.102,0.141,0.096,0.435,0.044,0.276,0.110,0.304,0.438,0.131,0.108,0.240,0.344,0.553,0.221,0.157,0.637,0.336,0.433,0.004
Kota Tanjung Pinang,0.000,0.815,0.811,0.172,1.112,0.986,0.132,0.098,0.157,0.688,0.316,0.754,0.303,0.109,0.290,0.121,0.292,0.128,0.210,0.371,0.359,0.419,0.181,0.129,0.134,0.125,0.397,0.146,0.067,0.972,0.192,0.098,0.000
Kep. Seribu,0.000,0.735,1.317,0.301,0.647,2.280,0.083,0.397,0.360,0.249,0.164,0.064,0.242,0.060,0.110,0.156,0.552,0.072,0.364,0.088,0.079,0.566,0.439,0.303,0.062,0.182,0.359,0.028,0.053,0.212,0.239,0.584,-
Kota Jakarta Selatan,0.000,0.861,0.871,0.520,0.834,1.664,0.182,0.208,0.253,0.681,0.303,0.277,0.239,0.253,0.244,0.099,0.642,0.082,0.490,0.104,0.314,0.384,0.469,0.375,0.244,0.424,0.325,0.145,0.205,0.730,0.265,0.269,0.000
Kota Jakarta Timur,0.000,0.961,0.896,0.379,0.667,1.853,0.091,0.277,0.291,0.607,0.324,0.405,0.220,0.240,0.218,0.123,0.568,0.194,0.544,0.190,0.408,0.508,0.464,0.388,0.163,0.558,0.433,0.166,0.211,0.860,0.373,0.307,0.000
Kota Jakarta Pusat,0.000,0.683,1.174,0.595,0.993,2.299,0.095,0.386,0.326,1.418,0.418,0.283,0.507,0.293,0.389,0.199,0.808,0.147,0.690,0.269,0.429,0.593,0.746,0.448,0.238,0.802,0.387,0.260,0.281,0.914,0.239,0.253,-
Kota Jakarta Barat,0.000,0.840,1.240,0.415,1.265,2.360,0.213,0.259,0.305,1.014,0.374,0.404,0.327,0.272,0.291,0.143,0.760,0.107,0.455,0.239,0.345,0.483,0.634,0.417,0.214,0.856,0.487,0.254,0.164,0.875,0.287,0.407,0.001
Kota Jakarta Utara,0.000,0.823,0.997,0.530,1.098,1.947,0.187,0.287,0.223,1.077,0.269,0.320,0.275,0.202,0.216,0.099,0.510,0.134,0.686,0.146,0.308,0.454,0.462,0.342,0.308,1.202,0.477,0.205,0.212,0.823,0.224,0.497,0.002
Bogor,0.000,0.442,0.931,0.378,0.673,2.924,0.258,0.130,0.178,0.606,0.166,0.329,0.149,0.119,0.251,0.095,0.685,0.120,0.651,0.109,0.307,0.535,0.441,0.339,0.560,0.184,0.193,0.262,0.310,0.679,0.337,0.408,0.006
Sukabumi,0.000,0.134,1.544,0.420,1.077,4.299,0.147,0.118,0.089,0.171,0.063,0.510,0.041,0.036,0.096,0.033,0.673,0.203,0.702,0.120,0.157,0.480,0.370,0.205,0.419,0.108,0.088,0.312,0.481,1.071,0.315,0.198,-
Cianjur,0.000,0.229,0.996,0.356,0.830,3.111,0.438,0.082,0.060,0.256,0.067,0.191,0.051,0.014,0.222,0.043,0.621,0.069,0.539,0.083,0.182,0.517,0.323,0.288,0.665,0.133,0.119,0.398,0.541,0.635,0.228,0.170,-
Bandung,0.000,0.232,1.081,0.417,1.129,3.489,0.299,0.241,0.081,0.328,0.066,0.088,0.153,0.052,0.212,0.052,0.709,0.097,0.730,0.056,0.224,0.280,0.395,0.472,0.522,0.171,0.276,0.345,0.443,0.753,0.258,0.195,-
Garut,0.000,0.116,1.156,0.570,1.143,3.595,0.164,0.102,0.080,0.277,0.035,0.063,0.038,0.009,0.168,0.033,0.728,0.073,1.168,0.027,0.103,0.473,0.216,0.455,0.544,0.043,0.119,0.139,0.312,0.842,0.246,0.184,0.002
Tasikmalaya,0.000,0.307,1.073,0.393,1.114,3.784,0.441,0.158,0.099,0.397,0.108,0.488,0.092,0.070,0.685,0.084,0.682,0.188,0.846,0.169,0.367,0.440,0.252,0.339,0.408,0.059,0.120,0.343,0.372,1.070,0.300,0.190,0.002
Ciamis,0.000,0.392,0.939,0.517,1.232,2.948,0.091,0.208,0.143,0.234,0.110,0.499,0.077,0.070,0.836,0.119,0.620,0.063,0.605,0.161,0.343,0.349,0.269,0.352,0.404,0.038,0.137,0.208,0.206,0.692,0.218,0.191,-
Kuningan,0.000,0.585,1.443,0.625,1.331,5.090,0.394,0.143,0.310,0.396,0.167,0.341,0.064,0.109,0.714,0.065,0.844,0.084,0.535,0.117,0.334,0.560,0.581,0.373,0.502,0.118,0.097,0.364,0.174,0.757,0.208,0.703,0.000
Cirebon,0.000,0.275,1.174,0.781,1.215,4.903,0.454,0.306,0.395,1.270,0.166,0.405,0.266,0.174,1.142,0.131,0.963,0.152,1.079,0.266,0.513,1.045,0.482,0.528,0.677,0.269,0.335,0.337,0.259,1.231,0.297,1.690,0.003
Majalengka,0.000,0.340,1.003,0.543,1.221,4.809,0.421,0.151,0.168,0.502,0.085,0.162,0.063,0.087,1.301,0.105,0.715,0.079,0.892,0.105,0.404,0.747,0.350,0.432,0.530,0.091,0.211,0.400,0.197,0.741,0.252,0.547,-
Sumedang,0.000,0.331,1.432,0.434,1.408,4.681,0.262,0.163,0.140,0.460,0.094,0.217,0.122,0.090,0.734,0.072,0.730,0.085,0.881,0.113,0.374,0.653,0.378,0.532,0.623,0.101,0.217,0.303,0.324,1.144,0.271,0.246,0.000
Indramayu,0.000,0.292,1.581,0.887,1.865,4.909,0.175,0.262,0.434,1.420,0.212,0.131,0.361,0.098,0.542,0.098,0.683,0.144,1.154,0.578,0.390,1.148,0.433,0.348,0.524,0.197,0.454,0.374,0.318,0.830,0.307,1.863,0.012
Subang,0.000,0.212,1.222,0.399,1.028,3.983,0.152,0.270,0.251,0.200,0.120,0.361,0.327,0.154,0.437,0.131,0.675,0.154,0.567,0.252,0.277,0.623,0.413,0.375,0.236,0.196,0.172,0.257,0.225,0.696,0.240,0.375,0.000
Purwakarta,0.000,0.252,1.066,0.398,1.127,3.413,0.259,0.110,0.079,0.614,0.162,0.081,0.077,0.095,0.284,0.122,0.712,0.150,0.703,0.090,0.279,0.466,0.496,0.240,0.354,0.195,0.133,0.353,0.410,0.947,0.286,0.515,-
Karawang,0.000,0.329,1.308,0.323,1.409,3.821,0.114,0.274,0.168,0.857,0.209,0.056,0.294,0.118,0.335,0.125,0.627,0.080,0.539,0.162,0.342,0.748,0.550,0.336,0.363,0.199,0.383,0.235,0.329,0.668,0.264,0.524,0.000
Bekasi,0.000,0.397,0.956,0.370,0.942,2.734,0.167,0.199,0.178,1.020,0.218,0.100,0.177,0.140,0.220,0.088,0.606,0.131,0.540,0.111,0.267,0.335,0.479,0.368,0.183,0.218,0.547,0.234,0.204,0.948,0.274,0.295,0.000
Bandung Barat,0.000,0.280,1.242,0.516,0.917,3.101,0.235,0.218,0.120,0.326,0.082,0.075,0.108,0.036,0.169,0.051,0.608,0.045,0.750,0.031,0.130,0.665,0.342,0.524,0.569,0.091,0.126,0.189,0.752,0.814,0.331,0.242,0.001
Pangandaran,0.000,0.214,1.402,0.442,1.389,3.118,0.300,0.195,0.337,0.041,0.117,0.256,0.146,0.278,0.357,0.145,0.503,0.031,0.642,0.103,0.310,0.621,0.203,0.316,0.248,0.053,0.189,0.406,0.265,0.676,0.257,0.332,-
Kota Bogor,0.000,0.480,0.741,0.328,0.454,2.348,0.172,0.151,0.216,0.617,0.166,0.206,0.178,0.146,0.193,0.078,0.724,0.073,0.437,0.094,0.241,0.313,0.382,0.285,0.242,0.179,0.200,0.210,0.149,0.616,0.251,0.202,0.000
Kota Sukabumi,0.000,0.583,1.031,0.434,0.653,2.931,0.520,0.175,0.070,0.290,0.118,0.148,0.046,0.062,0.152,0.094,0.610,0.088,0.566,0.079,0.237,0.593,0.714,0.237,0.495,0.273,0.328,0.306,0.166,0.626,0.286,0.140,-
Kota Bandung,0.000,0.899,0.953,0.424,0.957,2.779,0.158,0.257,0.109,0.514,0.210,0.180,0.207,0.135,0.363,0.154,0.758,0.058,0.525,0.085,0.314,0.371,0.513,0.438,0.396,0.180,0.402,0.279,0.293,0.747,0.300,0.100,0.001
Kota Cirebon,0.000,0.727,1.034,0.436,1.008,2.763,0.214,0.430,0.305,1.087,0.313,0.212,0.422,0.262,0.725,0.206,0.923,0.132,0.433,0.240,0.469,0.818,0.421,0.623,0.522,0.204,0.243,0.174,0.124,0.871,0.399,0.979,-
Kota Bekasi,0.000,1.144,0.866,0.355,0.762,1.925,0.121,0.271,0.231,0.426,0.288,0.277,0.236,0.203,0.198,0.135,0.519,0.081,0.489,0.094,0.303,0.442,0.417,0.361,0.155,0.351,0.501,0.233,0.221,0.618,0.289,0.167,0.001
Kota Depok,0.000,0.823,0.957,0.553,0.810,2.044,0.190,0.175,0.217,0.755,0.262,0.230,0.179,0.222,0.237,0.118,0.539,0.081,0.651,0.099,0.375,0.511,0.411,0.355,0.311,0.338,0.286,0.213,0.270,0.643,0.364,0.545,0.001
Kota Cimahi,0.000,0.659,0.958,0.508,1.290,2.365,0.217,0.203,0.133,0.569,0.184,0.271,0.197,0.136,0.433,0.127,0.741,0.075,0.735,0.087,0.319,0.368,0.464,0.426,0.493,0.263,0.358,0.307,0.294,0.619,0.260,0.198,-
